date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-19,3,0,0.0,0.0,1.7143,0.0
2020-03-20,3,0,0.0,0.0,2.1429,0.0
2020-03-21,2,0,0.0,0.0,2.2857,0.0
2020-03-22,1,0,0.0,0.0,2.4286,0.0
2020-03-23,2,0,0.0,0.0,2.0,0.0
2020-03-24,6,0,0.0,0.0,2.7143,0.0
2020-03-25,6,0,0.0,0.0,3.2857,0.0
2020-03-26,4,1,0.0,0.0,3.4286,0.1429
2020-03-27,10,0,0.0,0.0,4.4286,0.1429
2020-03-28,7,0,0.0,0.0,5.1429,0.1429
2020-03-29,2,0,0.0,0.0,5.2857,0.1429
2020-03-30,3,0,0.0,0.0,5.4286,0.1429
2020-03-31,4,0,0.0,0.0,5.1429,0.1429
2020-04-01,8,0,0.0,0.0,5.4286,0.1429
2020-04-02,0,0,0.0,0.0,4.8571,0.0
2020-04-03,15,1,0.0,0.0,5.5714,0.1429
2020-04-04,15,0,0.0,0.0,6.7143,0.1429
2020-04-05,12,1,0.0,0.0,8.1429,0.2857
2020-04-06,4,2,0.0,0.0,8.2857,0.5714
2020-04-07,14,0,0.0,0.0,9.7143,0.5714
2020-04-08,26,2,0.0,0.0,12.2857,0.8571
2020-04-09,20,0,0.0,0.0,15.1429,0.8571
2020-04-10,12,1,0.0,0.0,14.7143,0.8571
2020-04-11,18,2,0.0,0.0,15.1429,1.1429
2020-04-12,20,4,0.0,0.0,16.2857,1.5714
2020-04-13,4,1,0.0,0.0,16.2857,1.4286
2020-04-14,51,0,0.0,0.0,21.5714,1.4286
2020-04-15,20,0,0.0,0.0,20.7143,1.1429
2020-04-16,14,1,0.0,0.0,19.8571,1.2857
2020-04-17,17,0,0.0,0.0,20.5714,1.1429
2020-04-18,43,2,0.0,0.0,24.1429,1.1429
2020-04-19,15,0,0.0,0.0,23.4286,0.5714
2020-04-20,10,1,0.0,0.0,24.2857,0.5714
2020-04-21,18,0,0.0,0.0,19.5714,0.5714
