date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-27,3,0,0.0,0.0,1.7143,0.0
2020-03-28,2,0,0.0,0.0,1.8571,0.0
2020-03-29,6,1,0.0,0.0,2.7143,0.1429
2020-03-30,9,0,0.0,0.0,3.1429,0.1429
2020-03-31,21,0,0.0,0.0,6.1429,0.1429
2020-04-01,19,0,0.0,0.0,8.8571,0.1429
2020-04-02,10,0,0.0,0.0,10.0,0.1429
2020-04-03,7,0,0.0,0.0,10.5714,0.1429
2020-04-04,8,1,0.0,0.0,11.4286,0.2857
2020-04-05,37,0,0.0,0.0,15.8571,0.1429
2020-04-06,39,2,0.0,0.0,20.1429,0.4286
2020-04-07,58,7,0.0,0.0,25.4286,1.4286
2020-04-08,43,1,0.0,0.0,28.8571,1.5714
2020-04-09,21,4,0.0,0.0,30.4286,2.1429
2020-04-10,51,5,0.0,0.0,36.7143,2.8571
2020-04-11,54,3,0.0,0.0,43.2857,3.1429
2020-04-12,47,3,0.0,0.0,44.7143,3.5714
2020-04-13,33,5,0.0,0.0,43.8571,4.0
2020-04-14,152,2,0.0,0.0,57.2857,3.2857
2020-04-15,65,3,0.0,0.0,60.4286,3.5714
2020-04-16,102,3,0.0,0.0,72.0,3.4286
2020-04-17,243,4,0.0,0.0,99.4286,3.2857
2020-04-18,165,4,0.0,0.0,115.2857,3.4286
2020-04-19,115,6,0.0,0.0,125.0,3.8571
2020-04-20,90,6,0.0,0.0,133.1429,4.0
2020-04-21,194,6,0.0,0.0,139.1429,4.5714
2020-04-22,153,10,0.0,0.0,151.7143,5.5714
2020-04-23,194,12,0.0,0.0,164.8571,6.8571
2020-04-24,154,12,0.0,0.0,152.1429,8.0
2020-04-25,118,12,0.0,0.0,145.4286,9.1429
2020-04-26,187,13,0.0,0.0,155.7143,10.1429
2020-04-27,118,20,0.0,0.0,159.7143,12.1429
2020-04-28,276,21,0.0,0.0,171.4286,14.2857
2020-04-29,386,18,0.0,0.0,204.7143,15.4286
2020-04-30,316,20,0.0,0.0,222.1429,16.5714
2020-05-01,299,20,0.0,0.0,242.8571,17.7143
2020-05-02,235,13,0.0,0.0,259.5714,17.8571
2020-05-03,187,12,0.0,0.0,259.5714,17.7143
2020-05-04,303,22,0.0,0.0,286.0,18.0
2020-05-05,498,20,0.0,0.0,317.7143,17.8571
2020-05-06,361,14,0.0,0.0,314.1429,17.2857
2020-05-07,520,25,0.0,0.0,343.2857,18.0
2020-05-08,856,25,0.0,0.0,422.8571,18.7143
2020-05-09,834,24,0.0,0.0,508.4286,20.2857
2020-05-10,545,20,0.0,0.0,559.5714,21.4286
2020-05-11,382,24,0.0,0.0,570.8571,21.7143
2020-05-12,586,21,0.0,0.0,583.4286,21.8571
2020-05-13,689,26,0.0,0.0,630.2857,23.5714
2020-05-14,938,26,0.0,0.0,690.0,23.7143
2020-05-15,853,28,0.0,0.0,689.5714,24.1429
2020-05-16,900,25,0.0,0.0,699.0,24.2857
2020-05-17,746,27,0.0,0.0,727.7143,25.2857
2020-05-18,960,28,0.0,0.0,810.2857,25.8571
2020-05-19,916,30,0.0,0.0,857.4286,27.1429
2020-05-20,944,29,0.0,0.0,893.8571,27.5714
2020-05-21,1154,30,0.0,0.0,924.7143,28.1429
2020-05-22,1555,29,0.0,0.0,1025.0,28.2857
2020-05-23,2424,32,0.0,0.0,1242.7143,29.2857
2020-05-24,1595,30,0.0,0.0,1364.0,29.7143
2020-05-25,1492,33,0.0,0.0,1440.0,30.4286
2020-05-26,1867,36,0.0,0.0,1575.8571,31.2857
2020-05-27,1834,34,0.0,0.0,1703.0,32.0
2020-05-28,2503,24,0.0,0.0,1895.7143,31.1429
2020-05-29,2138,21,0.0,0.0,1979.0,30.0
2020-05-30,2019,23,0.0,0.0,1921.1429,28.7143
2020-05-31,658,21,0.0,0.0,1787.2857,27.4286
2020-06-01,1328,21,0.0,0.0,1763.8571,25.7143
2020-06-02,1549,31,0.0,0.0,1718.4286,25.0
2020-06-03,2455,34,0.0,0.0,1807.1429,25.0
2020-06-04,2684,33,0.0,0.0,1833.0,26.2857
2020-06-05,2157,37,0.0,0.0,1835.7143,28.5714
2020-06-06,2123,38,0.0,0.0,1850.5714,30.7143
2020-06-07,944,38,0.0,0.0,1891.4286,33.1429
2020-06-08,834,39,0.0,0.0,1820.8571,35.7143
2020-06-09,2698,38,0.0,0.0,1985.0,36.7143
2020-06-10,1439,37,0.0,0.0,1839.8571,37.1429
2020-06-11,2172,38,0.0,0.0,1766.7143,37.8571
2020-06-12,1925,39,0.0,0.0,1733.5714,38.1429
2020-06-13,1254,37,0.0,0.0,1609.4286,38.0
2020-06-14,991,31,0.0,0.0,1616.1429,37.0
2020-06-15,742,32,0.0,0.0,1603.0,36.0
2020-06-16,2119,38,0.0,0.0,1520.2857,36.0
2020-06-17,2024,33,0.0,0.0,1603.8571,35.4286
2020-06-18,1356,37,0.0,0.0,1487.2857,35.2857
2020-06-19,2409,38,0.0,0.0,1556.4286,35.1429
2020-06-20,1173,39,0.0,0.0,1544.8571,35.4286
2020-06-21,386,37,0.0,0.0,1458.4286,36.2857
2020-06-22,630,39,0.0,0.0,1442.4286,37.2857
2020-06-23,1332,37,0.0,0.0,1330.0,37.1429
2020-06-24,1293,39,0.0,0.0,1225.5714,38.0
2020-06-25,1611,35,0.0,0.0,1262.0,37.7143
2020-06-26,1773,35,0.0,0.0,1171.1429,37.2857
2020-06-27,1417,37,0.0,0.0,1206.0,37.0
2020-06-28,397,39,0.0,0.0,1207.5714,37.2857
2020-06-29,457,30,0.0,0.0,1182.8571,36.0
2020-06-30,1482,36,0.0,0.0,1204.2857,35.8571
2020-07-01,2805,33,0.0,0.0,1420.2857,35.0
2020-07-02,2769,38,0.0,0.0,1585.7143,35.4286
2020-07-03,2189,34,0.0,0.0,1645.1429,35.2857
2020-07-04,843,32,0.0,0.0,1563.1429,34.5714
2020-07-05,657,34,0.0,0.0,1600.2857,33.8571
2020-07-06,537,31,0.0,0.0,1611.7143,34.0
2020-07-07,1837,36,0.0,0.0,1662.4286,34.0
2020-07-08,851,38,0.0,0.0,1383.2857,34.7143
2020-07-09,2384,33,0.0,0.0,1328.2857,34.0
2020-07-10,1395,35,0.0,0.0,1214.8571,34.1429
2020-07-11,1680,34,0.0,0.0,1334.4286,34.4286
2020-07-12,554,37,0.0,0.0,1319.7143,34.8571
2020-07-13,878,38,0.0,0.0,1368.4286,35.8571
