date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-15,0,0,0.0,0.0,0.4286,0.0
2020-03-16,2,0,0.0,0.0,0.7143,0.0
2020-03-17,8,0,0.0,0.0,1.8571,0.0
2020-03-18,5,0,0.0,0.0,2.5714,0.0
2020-03-19,10,0,0.0,0.0,3.8571,0.0
2020-03-20,9,0,0.0,0.0,5.1429,0.0
2020-03-21,17,0,0.0,0.0,7.2857,0.0
2020-03-22,28,0,0.0,0.0,11.2857,0.0
2020-03-23,45,0,0.0,0.0,17.4286,0.0
2020-03-24,2,0,0.0,0.0,16.5714,0.0
2020-03-25,3,0,0.0,0.0,16.2857,0.0
2020-03-26,20,0,0.0,0.0,17.7143,0.0
2020-03-27,36,0,0.0,0.0,21.5714,0.0
2020-03-28,16,0,0.0,0.0,21.4286,0.0
2020-03-29,26,0,0.0,0.0,21.1429,0.0
2020-03-30,30,1,0.0,0.0,19.0,0.1429
2020-03-31,14,1,0.0,0.0,20.7143,0.2857
2020-04-01,39,1,0.0,0.0,25.8571,0.4286
2020-04-02,56,1,0.0,0.0,31.0,0.5714
2020-04-03,27,2,0.0,0.0,29.7143,0.8571
2020-04-04,33,0,0.0,0.0,32.1429,0.8571
2020-04-05,68,0,0.0,0.0,38.1429,0.8571
2020-04-06,27,3,0.0,0.0,37.7143,1.1429
2020-04-07,34,2,0.0,0.0,40.5714,1.2857
2020-04-08,55,3,0.0,0.0,42.8571,1.5714
2020-04-09,41,1,0.0,0.0,40.7143,1.5714
2020-04-10,43,2,0.0,0.0,43.0,1.5714
2020-04-11,52,0,0.0,0.0,45.7143,1.5714
2020-04-12,56,3,0.0,0.0,44.0,2.0
2020-04-13,9,3,0.0,0.0,41.4286,2.0
2020-04-14,69,4,0.0,0.0,46.4286,2.2857
2020-04-15,19,3,0.0,0.0,41.2857,2.2857
2020-04-16,55,3,0.0,0.0,43.2857,2.5714
2020-04-17,63,2,0.0,0.0,46.1429,2.5714
2020-04-18,56,4,0.0,0.0,46.7143,3.1429
2020-04-19,77,0,0.0,0.0,49.7143,2.7143
