date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-21,4,0,0.0,0.0,2.0,0.0
2020-03-22,5,0,0.0,0.0,2.7143,0.0
2020-03-23,0,0,0.0,0.0,2.4286,0.0
2020-03-24,3,0,0.0,0.0,2.5714,0.0
2020-03-25,0,0,0.0,0.0,2.4286,0.0
2020-03-26,1,0,0.0,0.0,2.2857,0.0
2020-03-27,3,0,0.0,0.0,2.2857,0.0
2020-03-28,3,0,0.0,0.0,2.1429,0.0
2020-03-29,5,0,0.0,0.0,2.1429,0.0
2020-03-30,8,0,0.0,0.0,3.2857,0.0
2020-03-31,4,1,0.0,0.0,3.4286,0.1429
2020-04-01,3,0,0.0,0.0,3.8571,0.1429
2020-04-02,2,0,0.0,0.0,4.0,0.1429
2020-04-03,7,0,0.0,0.0,4.5714,0.1429
2020-04-04,2,0,0.0,0.0,4.4286,0.1429
2020-04-05,3,0,0.0,0.0,4.1429,0.1429
2020-04-06,1,0,0.0,0.0,3.1429,0.1429
2020-04-07,14,1,0.0,0.0,4.5714,0.1429
2020-04-08,5,0,0.0,0.0,4.8571,0.1429
2020-04-09,4,0,0.0,0.0,5.1429,0.1429
2020-04-10,8,0,0.0,0.0,5.2857,0.1429
2020-04-11,3,0,0.0,0.0,5.4286,0.1429
2020-04-12,1,0,0.0,0.0,5.1429,0.1429
2020-04-13,12,2,0.0,0.0,6.7143,0.4286
2020-04-14,2,0,0.0,0.0,5.0,0.2857
2020-04-15,6,0,0.0,0.0,5.1429,0.2857
2020-04-16,10,1,0.0,0.0,6.0,0.4286
2020-04-17,12,0,0.0,0.0,6.5714,0.4286
2020-04-18,18,0,0.0,0.0,8.7143,0.4286
2020-04-19,7,0,0.0,0.0,9.5714,0.4286
2020-04-20,3,0,0.0,0.0,8.2857,0.1429
2020-04-21,2,1,0.0,0.0,8.2857,0.2857
2020-04-22,2,0,0.0,0.0,7.7143,0.2857
2020-04-23,11,1,0.0,0.0,7.8571,0.2857
2020-04-24,27,0,0.0,0.0,10.0,0.2857
2020-04-25,4,0,0.0,0.0,8.0,0.2857
2020-04-26,17,0,0.0,0.0,9.4286,0.2857
2020-04-27,4,2,0.0,0.0,9.5714,0.5714
2020-04-28,2,0,0.0,0.0,9.5714,0.4286
2020-04-29,9,0,0.0,0.0,10.5714,0.4286
2020-04-30,6,0,0.0,0.0,9.8571,0.2857
2020-05-01,6,0,0.0,0.0,6.8571,0.2857
2020-05-02,5,0,0.0,0.0,7.0,0.2857
2020-05-03,6,1,0.0,0.0,5.4286,0.4286
2020-05-04,2,0,0.0,0.0,5.1429,0.1429
2020-05-05,9,0,0.0,0.0,6.1429,0.1429
2020-05-06,5,0,0.0,0.0,5.5714,0.1429
2020-05-07,23,0,0.0,0.0,8.0,0.1429
2020-05-08,15,1,0.0,0.0,9.2857,0.2857
2020-05-09,20,0,0.0,0.0,11.4286,0.2857
2020-05-10,16,0,0.0,0.0,12.8571,0.1429
2020-05-11,23,0,0.0,0.0,15.8571,0.1429
2020-05-12,20,1,0.0,0.0,17.4286,0.2857
2020-05-13,25,1,0.0,0.0,20.2857,0.4286
2020-05-14,22,1,0.0,0.0,20.1429,0.5714
2020-05-15,27,0,0.0,0.0,21.8571,0.4286
2020-05-16,29,1,0.0,0.0,23.1429,0.5714
2020-05-17,62,0,0.0,0.0,29.7143,0.5714
2020-05-18,43,1,0.0,0.0,32.5714,0.7143
2020-05-19,29,0,0.0,0.0,33.8571,0.5714
2020-05-20,51,1,0.0,0.0,37.5714,0.5714
2020-05-21,53,0,0.0,0.0,42.0,0.4286
2020-05-22,59,0,0.0,0.0,46.5714,0.4286
2020-05-23,53,0,0.0,0.0,50.0,0.2857
