date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-27,0,0,0.0,0.0,1.4286,0.0
2020-03-28,2,0,0.0,0.0,1.5714,0.0
2020-03-29,3,0,0.0,0.0,2.0,0.0
2020-03-30,2,0,0.0,0.0,1.7143,0.0
2020-03-31,7,0,0.0,0.0,2.5714,0.0
2020-04-01,3,0,0.0,0.0,2.7143,0.0
2020-04-02,13,0,0.0,0.0,4.2857,0.0
2020-04-03,3,1,0.0,0.0,4.7143,0.1429
2020-04-04,16,0,0.0,0.0,6.7143,0.1429
2020-04-05,0,0,0.0,0.0,6.2857,0.1429
2020-04-06,16,0,0.0,0.0,8.2857,0.1429
2020-04-07,2,0,0.0,0.0,7.5714,0.1429
2020-04-08,12,0,0.0,0.0,8.8571,0.1429
2020-04-09,18,1,0.0,0.0,9.5714,0.2857
2020-04-10,4,0,0.0,0.0,9.7143,0.1429
2020-04-11,9,1,0.0,0.0,8.7143,0.2857
2020-04-12,2,0,0.0,0.0,9.0,0.2857
2020-04-13,11,1,0.0,0.0,8.2857,0.4286
2020-04-14,4,0,0.0,0.0,8.5714,0.4286
2020-04-15,13,0,0.0,0.0,8.7143,0.4286
2020-04-16,5,1,0.0,0.0,6.8571,0.4286
2020-04-17,6,0,0.0,0.0,7.1429,0.4286
2020-04-18,9,0,0.0,0.0,7.1429,0.2857
2020-04-19,3,0,0.0,0.0,7.2857,0.2857
2020-04-20,7,1,0.0,0.0,6.7143,0.2857
2020-04-21,0,0,0.0,0.0,6.1429,0.2857
2020-04-22,24,0,0.0,0.0,7.7143,0.2857
2020-04-23,16,1,0.0,0.0,9.2857,0.2857
2020-04-24,20,1,0.0,0.0,11.2857,0.4286
2020-04-25,6,1,0.0,0.0,10.8571,0.5714
2020-04-26,3,0,0.0,0.0,10.8571,0.5714
2020-04-27,7,1,0.0,0.0,10.8571,0.5714
2020-04-28,6,1,0.0,0.0,11.7143,0.7143
2020-04-29,29,0,0.0,0.0,12.4286,0.7143
2020-04-30,10,0,0.0,0.0,11.5714,0.5714
2020-05-01,18,0,0.0,0.0,11.2857,0.4286
2020-05-02,13,1,0.0,0.0,12.2857,0.4286
2020-05-03,4,0,0.0,0.0,12.4286,0.4286
2020-05-04,7,1,0.0,0.0,12.4286,0.4286
2020-05-05,22,0,0.0,0.0,14.7143,0.2857
2020-05-06,19,0,0.0,0.0,13.2857,0.2857
2020-05-07,34,1,0.0,0.0,16.7143,0.4286
2020-05-08,45,1,0.0,0.0,20.5714,0.5714
2020-05-09,38,1,0.0,0.0,24.1429,0.5714
