date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-25,2,0,0.0,0.0,0.8571,0.0
2020-03-26,6,0,0.0,0.0,1.7143,0.0
2020-03-27,3,0,0.0,0.0,2.0,0.0
2020-03-28,2,0,0.0,0.0,2.2857,0.0
2020-03-29,2,0,0.0,0.0,2.2857,0.0
2020-03-30,6,0,0.0,0.0,3.0,0.0
2020-03-31,8,0,0.0,0.0,4.1429,0.0
2020-04-01,7,1,0.0,0.0,4.8571,0.1429
2020-04-02,8,0,0.0,0.0,5.1429,0.1429
2020-04-03,26,0,0.0,0.0,8.4286,0.1429
2020-04-04,7,0,0.0,0.0,9.1429,0.1429
2020-04-05,4,0,0.0,0.0,9.4286,0.1429
2020-04-06,37,4,0.0,0.0,13.8571,0.7143
2020-04-07,31,0,0.0,0.0,17.1429,0.7143
2020-04-08,13,1,0.0,0.0,18.0,0.7143
2020-04-09,2,1,0.0,0.0,17.1429,0.8571
2020-04-10,48,2,0.0,0.0,20.2857,1.1429
2020-04-11,20,2,0.0,0.0,22.1429,1.4286
2020-04-12,22,3,0.0,0.0,24.7143,1.8571
2020-04-13,51,1,0.0,0.0,26.7143,1.4286
2020-04-14,74,6,0.0,0.0,32.8571,2.2857
2020-04-15,103,0,0.0,0.0,45.7143,2.1429
2020-04-16,70,5,0.0,0.0,55.4286,2.7143
2020-04-17,70,6,0.0,0.0,58.5714,3.2857
2020-04-18,14,1,0.0,0.0,57.7143,3.1429
2020-04-19,44,1,0.0,0.0,60.8571,2.8571
2020-04-20,217,1,0.0,0.0,84.5714,2.8571
2020-04-21,124,3,0.0,0.0,91.7143,2.4286
2020-04-22,169,5,0.0,0.0,101.1429,3.1429
2020-04-23,72,10,0.0,0.0,101.4286,3.8571
2020-04-24,312,33,0.0,0.0,136.0,7.7143
2020-04-25,166,9,0.0,0.0,157.7143,8.8571
2020-04-26,325,19,0.0,0.0,197.8571,11.4286
2020-04-27,149,8,0.0,0.0,188.1429,12.4286
2020-04-28,100,10,0.0,0.0,184.7143,13.4286
2020-04-29,267,24,0.0,0.0,198.7143,16.1429
2020-04-30,413,68,0.0,0.0,247.4286,24.4286
2020-05-01,360,39,0.0,0.0,254.2857,25.2857
2020-05-02,368,43,0.0,0.0,283.1429,30.1429
2020-05-03,193,11,0.0,0.0,264.2857,29.0
2020-05-04,342,27,0.0,0.0,291.8571,31.7143
2020-05-05,494,31,0.0,0.0,348.1429,34.7143
2020-05-06,768,35,0.0,0.0,419.7143,36.2857
2020-05-07,411,78,0.0,0.0,419.4286,37.7143
2020-05-08,584,86,0.0,0.0,451.4286,44.4286
2020-05-09,499,36,0.0,0.0,470.1429,43.4286
2020-05-10,330,62,0.0,0.0,489.7143,50.7143
2020-05-11,721,140,0.0,0.0,543.8571,66.8571
2020-05-12,990,102,0.0,0.0,614.7143,77.0
2020-05-13,1285,108,0.0,0.0,688.5714,87.4286
2020-05-14,1135,73,0.0,0.0,792.0,86.7143
2020-05-15,1159,80,0.0,0.0,874.1429,85.8571
2020-05-16,826,48,0.0,0.0,920.8571,87.5714
2020-05-17,737,57,0.0,0.0,979.0,86.8571
2020-05-18,1266,112,0.0,0.0,1056.8571,82.8571
2020-05-19,1710,162,0.0,0.0,1159.7143,91.4286
2020-05-20,1752,224,0.0,0.0,1226.4286,108.0
2020-05-21,1603,115,0.0,0.0,1293.2857,114.0
2020-05-22,2165,110,0.0,0.0,1437.0,118.2857
2020-05-23,1428,147,0.0,0.0,1523.0,132.4286
2020-05-24,690,140,0.0,0.0,1516.2857,144.2857
2020-05-25,2551,141,0.0,0.0,1699.8571,148.4286
2020-05-26,2516,91,0.0,0.0,1815.0,138.2857
2020-05-27,1789,83,0.0,0.0,1820.2857,118.1429
2020-05-28,3461,180,0.0,0.0,2085.7143,127.4286
2020-05-29,2164,115,0.0,0.0,2085.5714,128.1429
2020-05-30,563,20,0.0,0.0,1962.0,110.0
2020-05-31,102,3,0.0,0.0,1878.0,90.4286
2020-06-01,2053,96,0.0,0.0,1806.8571,84.0
2020-06-02,3638,125,0.0,0.0,1967.1429,88.8571
2020-06-03,2821,101,0.0,0.0,2114.5714,91.4286
2020-06-04,3000,247,0.0,0.0,2048.7143,101.0
2020-06-05,4387,173,0.0,0.0,2366.2857,109.2857
2020-06-06,0,0,0.0,0.0,2285.8571,106.4286
2020-06-07,411,13,0.0,0.0,2330.0,107.8571
2020-06-08,3299,157,0.0,0.0,2508.0,116.5714
2020-06-09,3066,63,0.0,0.0,2426.2857,107.7143
2020-06-10,2769,82,0.0,0.0,2418.8571,105.0
2020-06-11,1746,110,0.0,0.0,2239.7143,85.4286
2020-06-12,1177,42,0.0,0.0,1781.1429,66.7143
2020-06-13,2182,59,0.0,0.0,2092.8571,75.1429
2020-06-14,714,10,0.0,0.0,2136.1429,74.7143
2020-06-15,2019,90,0.0,0.0,1953.2857,65.1429
2020-06-16,2949,59,0.0,0.0,1936.5714,64.5714
2020-06-17,2431,45,0.0,0.0,1888.2857,59.2857
2020-06-18,3449,74,0.0,0.0,2131.5714,54.1429
2020-06-19,2809,50,0.0,0.0,2364.7143,55.2857
2020-06-20,1773,64,0.0,0.0,2306.2857,56.0
2020-06-21,1366,22,0.0,0.0,2399.4286,57.7143
2020-06-22,2616,67,0.0,0.0,2484.7143,54.4286
2020-06-23,3072,54,0.0,0.0,2502.2857,53.7143
2020-06-24,2328,22,0.0,0.0,2487.5714,50.4286
2020-06-25,2436,55,0.0,0.0,2342.8571,47.7143
2020-06-26,2841,31,0.0,0.0,2347.4286,45.0
2020-06-27,1130,11,0.0,0.0,2255.5714,37.4286
2020-06-28,764,25,0.0,0.0,2169.5714,37.8571
2020-06-29,1999,50,0.0,0.0,2081.4286,35.4286
2020-06-30,2647,40,0.0,0.0,2020.7143,33.4286
2020-07-01,2214,44,0.0,0.0,2004.4286,36.5714
2020-07-02,2344,46,0.0,0.0,1991.2857,35.2857
2020-07-03,2120,19,0.0,0.0,1888.2857,33.5714
2020-07-04,1280,27,0.0,0.0,1909.7143,35.8571
2020-07-05,724,9,0.0,0.0,1904.0,33.5714
2020-07-06,1617,23,0.0,0.0,1849.4286,29.7143
2020-07-07,2592,41,0.0,0.0,1841.5714,29.8571
2020-07-08,1987,27,0.0,0.0,1809.1429,27.4286
2020-07-09,1943,28,0.0,0.0,1751.8571,24.8571
2020-07-10,2260,50,0.0,0.0,1771.8571,29.2857
2020-07-11,780,15,0.0,0.0,1700.4286,27.5714
2020-07-12,795,4,0.0,0.0,1710.5714,26.8571
2020-07-13,2061,25,0.0,0.0,1774.0,27.1429
2020-07-14,2264,19,0.0,0.0,1727.1429,24.0
2020-07-15,2205,48,0.0,0.0,1758.2857,27.0
2020-07-16,2125,63,0.0,0.0,1784.2857,32.0
2020-07-17,1783,30,0.0,0.0,1716.1429,29.1429
2020-07-18,537,45,0.0,0.0,1681.4286,33.4286
2020-07-19,912,15,0.0,0.0,1698.1429,35.0
2020-07-20,1997,16,0.0,0.0,1689.0,33.7143
2020-07-21,1965,27,0.0,0.0,1646.2857,34.8571
2020-07-22,2109,35,0.0,0.0,1632.5714,33.0
2020-07-23,1785,30,0.0,0.0,1584.0,28.2857
2020-07-24,1671,43,0.0,0.0,1568.0,30.1429
2020-07-25,540,27,0.0,0.0,1568.4286,27.5714
2020-07-26,360,13,0.0,0.0,1489.5714,27.2857
2020-07-27,1793,24,0.0,0.0,1460.4286,28.4286
2020-07-28,1233,-37,0.0,0.0,1355.8571,19.2857
2020-07-29,1501,-17,0.0,0.0,1269.0,11.8571
2020-07-30,1335,29,0.0,0.0,1204.7143,11.7143
2020-07-31,1368,22,0.0,0.0,1161.4286,8.7143
2020-08-01,232,23,0.0,0.0,1117.4286,8.1429
2020-08-02,220,11,0.0,0.0,1097.4286,7.8571
2020-08-03,1772,15,0.0,0.0,1094.4286,6.5714
2020-08-04,2418,19,0.0,0.0,1263.7143,14.5714
2020-08-05,2127,17,0.0,0.0,1353.1429,19.4286
2020-08-06,1937,19,0.0,0.0,1439.1429,18.0
2020-08-07,2340,17,0.0,0.0,1578.0,17.2857
2020-08-08,543,14,0.0,0.0,1622.4286,16.0
2020-08-09,509,8,0.0,0.0,1663.7143,15.5714
2020-08-10,1462,8,0.0,0.0,1619.4286,14.5714
2020-08-11,2265,8,0.0,0.0,1597.5714,13.0
2020-08-12,1747,8,0.0,0.0,1543.2857,11.7143
2020-08-13,1983,7,0.0,0.0,1549.8571,10.0
2020-08-14,1402,8,0.0,0.0,1415.8571,8.7143
2020-08-15,959,8,0.0,0.0,1475.2857,7.8571
2020-08-16,406,5,0.0,0.0,1460.5714,7.4286
2020-08-17,1715,30,0.0,0.0,1496.7143,10.5714
2020-08-18,2141,40,0.0,0.0,1479.0,15.1429
2020-08-19,2022,12,0.0,0.0,1518.2857,15.7143
2020-08-20,2393,10,0.0,0.0,1576.8571,16.1429
2020-08-21,1998,10,0.0,0.0,1662.0,16.4286
2020-08-22,645,10,0.0,0.0,1617.1429,16.7143
2020-08-23,293,5,0.0,0.0,1601.0,16.7143
2020-08-24,2027,16,0.0,0.0,1645.5714,14.7143
2020-08-25,1955,19,0.0,0.0,1619.0,11.7143
2020-08-26,1733,5,0.0,0.0,1577.7143,10.7143
2020-08-27,1577,4,0.0,0.0,1461.1429,9.8571
2020-08-28,1372,3,0.0,0.0,1371.7143,8.8571
2020-08-29,925,6,0.0,0.0,1411.7143,8.2857
2020-08-30,385,31,0.0,0.0,1424.8571,12.0
2020-08-31,1429,30,0.0,0.0,1339.4286,14.0
2020-09-01,1451,25,0.0,0.0,1267.4286,14.8571
2020-09-02,1533,14,0.0,0.0,1238.8571,16.1429
2020-09-03,1322,13,0.0,0.0,1202.4286,17.4286
2020-09-04,1573,12,0.0,0.0,1231.1429,18.7143
2020-09-05,774,9,0.0,0.0,1209.5714,19.1429
2020-09-06,621,8,0.0,0.0,1243.2857,15.8571
2020-09-07,301,12,0.0,0.0,1082.1429,13.2857
2020-09-08,1248,11,0.0,0.0,1053.1429,11.2857
2020-09-09,1253,9,0.0,0.0,1013.1429,10.5714
2020-09-10,1367,10,0.0,0.0,1019.5714,10.1429
2020-09-11,1227,8,0.0,0.0,970.1429,9.5714
2020-09-12,721,37,0.0,0.0,962.5714,13.5714
2020-09-13,430,24,0.0,0.0,935.2857,15.8571
2020-09-14,1512,19,0.0,0.0,1108.2857,16.8571
2020-09-15,1182,18,0.0,0.0,1098.8571,17.8571
2020-09-16,958,16,0.0,0.0,1056.7143,18.8571
2020-09-17,762,17,0.0,0.0,970.2857,19.8571
2020-09-18,985,13,0.0,0.0,935.7143,20.5714
2020-09-19,314,9,0.0,0.0,877.5714,16.5714
2020-09-20,256,8,0.0,0.0,852.7143,14.2857
2020-09-21,864,9,0.0,0.0,760.1429,12.8571
2020-09-22,1382,12,0.0,0.0,788.7143,12.0
2020-09-23,1281,13,0.0,0.0,834.8571,11.5714
2020-09-24,1322,12,0.0,0.0,914.8571,10.8571
2020-09-25,1202,20,0.0,0.0,945.8571,11.8571
2020-09-26,930,12,0.0,0.0,1033.8571,12.2857
2020-09-27,312,5,0.0,0.0,1041.8571,11.8571
2020-09-28,1107,9,0.0,0.0,1076.5714,11.8571
2020-09-29,1274,13,0.0,0.0,1061.1429,12.0
2020-09-30,1294,9,0.0,0.0,1063.0,11.4286
2020-10-01,1060,3,0.0,0.0,1025.5714,10.1429
2020-10-02,999,8,0.0,0.0,996.5714,8.4286
2020-10-03,231,7,0.0,0.0,896.7143,7.7143
2020-10-04,96,6,0.0,0.0,865.8571,7.8571
2020-10-05,755,8,0.0,0.0,815.5714,7.7143
2020-10-06,1064,9,0.0,0.0,785.5714,7.1429
2020-10-07,882,6,0.0,0.0,726.7143,6.7143
2020-10-08,648,7,0.0,0.0,667.8571,7.2857
2020-10-09,447,9,0.0,0.0,589.0,7.4286
2020-10-10,13,9,0.0,0.0,557.8571,7.7143
2020-10-11,20,2,0.0,0.0,547.0,7.1429
2020-10-12,38,1,0.0,0.0,444.5714,6.1429
2020-10-13,839,4,0.0,0.0,412.4286,5.4286
2020-10-14,684,6,0.0,0.0,384.1429,5.4286
2020-10-15,704,3,0.0,0.0,392.1429,4.8571
2020-10-16,743,6,0.0,0.0,434.4286,4.4286
2020-10-17,276,1,0.0,0.0,472.0,3.2857
2020-10-18,20,5,0.0,0.0,472.0,3.7143
2020-10-19,867,4,0.0,0.0,590.4286,4.1429
2020-10-20,989,4,0.0,0.0,611.8571,4.1429
2020-10-21,1111,7,0.0,0.0,672.8571,4.2857
2020-10-22,1049,7,0.0,0.0,722.1429,4.8571
2020-10-23,1327,13,0.0,0.0,805.5714,5.8571
2020-10-24,783,5,0.0,0.0,878.0,6.4286
2020-10-25,636,3,0.0,0.0,966.0,6.1429
2020-10-26,1211,4,0.0,0.0,1015.1429,6.1429
