date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-25,2,0,0.0,0.0,0.5714,0.0
2020-03-26,1,0,0.0,0.0,0.7143,0.0
2020-03-27,4,0,0.0,0.0,1.2857,0.0
2020-03-28,4,0,0.0,0.0,1.8571,0.0
2020-03-29,0,0,0.0,0.0,1.8571,0.0
2020-03-30,3,0,0.0,0.0,2.1429,0.0
2020-03-31,1,1,0.0,0.0,2.1429,0.1429
2020-04-01,3,0,0.0,0.0,2.2857,0.1429
2020-04-02,8,0,0.0,0.0,3.2857,0.1429
2020-04-03,3,0,0.0,0.0,3.1429,0.1429
2020-04-04,2,2,0.0,0.0,2.8571,0.4286
2020-04-05,1,1,0.0,0.0,3.0,0.5714
2020-04-06,1,0,0.0,0.0,2.7143,0.5714
2020-04-07,5,0,0.0,0.0,3.2857,0.4286
2020-04-08,14,3,0.0,0.0,4.8571,0.8571
2020-04-09,24,4,0.0,0.0,7.1429,1.4286
2020-04-10,6,0,0.0,0.0,7.5714,1.4286
2020-04-11,16,2,0.0,0.0,9.5714,1.4286
2020-04-12,10,0,0.0,0.0,10.8571,1.2857
2020-04-13,25,3,0.0,0.0,14.2857,1.7143
2020-04-14,16,5,0.0,0.0,15.8571,2.4286
2020-04-15,13,3,0.0,0.0,15.7143,2.4286
2020-04-16,30,2,0.0,0.0,16.5714,2.1429
2020-04-17,10,2,0.0,0.0,17.1429,2.4286
2020-04-18,31,1,0.0,0.0,19.2857,2.2857
2020-04-19,9,3,0.0,0.0,19.1429,2.7143
2020-04-20,18,1,0.0,0.0,18.1429,2.4286
2020-04-21,38,6,0.0,0.0,21.2857,2.5714
2020-04-22,44,1,0.0,0.0,25.7143,2.2857
2020-04-23,41,4,0.0,0.0,27.2857,2.5714
2020-04-24,61,2,0.0,0.0,34.5714,2.5714
2020-04-25,52,3,0.0,0.0,37.5714,2.8571
2020-04-26,44,1,0.0,0.0,42.5714,2.5714
2020-04-27,90,3,0.0,0.0,52.8571,2.8571
2020-04-28,65,4,0.0,0.0,56.7143,2.5714
2020-04-29,116,5,0.0,0.0,67.0,3.1429
2020-04-30,112,5,0.0,0.0,77.1429,3.2857
2020-05-01,108,7,0.0,0.0,83.8571,4.0
2020-05-02,135,2,0.0,0.0,95.7143,3.8571
2020-05-03,50,3,0.0,0.0,96.5714,4.1429
2020-05-04,142,6,0.0,0.0,104.0,4.5714
2020-05-05,132,7,0.0,0.0,113.5714,5.0
2020-05-06,164,9,0.0,0.0,120.4286,5.5714
2020-05-07,192,10,0.0,0.0,131.8571,6.2857
2020-05-08,182,3,0.0,0.0,142.4286,5.7143
2020-05-09,125,10,0.0,0.0,141.0,6.8571
2020-05-10,185,11,0.0,0.0,160.2857,8.0
2020-05-11,184,4,0.0,0.0,166.2857,7.7143
2020-05-12,252,15,0.0,0.0,183.4286,8.8571
2020-05-13,268,3,0.0,0.0,198.2857,8.0
2020-05-14,316,3,0.0,0.0,216.0,7.0
2020-05-15,378,10,0.0,0.0,244.0,8.0
2020-05-16,324,13,0.0,0.0,272.4286,8.4286
2020-05-17,284,11,0.0,0.0,286.5714,8.4286
2020-05-18,439,13,0.0,0.0,323.0,9.7143
2020-05-19,514,12,0.0,0.0,360.4286,9.2857
2020-05-20,538,11,0.0,0.0,399.0,10.4286
2020-05-21,400,15,0.0,0.0,411.0,12.1429
2020-05-22,644,3,0.0,0.0,449.0,11.1429
2020-05-23,626,10,0.0,0.0,492.1429,10.7143
2020-05-24,315,14,0.0,0.0,496.5714,11.1429
2020-05-25,193,7,0.0,0.0,461.4286,10.2857
2020-05-26,903,7,0.0,0.0,517.0,9.5714
2020-05-27,1290,12,0.0,0.0,624.4286,9.7143
2020-05-28,923,20,0.0,0.0,699.1429,10.4286
2020-05-29,879,9,0.0,0.0,732.7143,11.2857
2020-05-30,851,20,0.0,0.0,764.8571,12.7143
2020-05-31,300,13,0.0,0.0,762.7143,12.5714
2020-06-01,533,10,0.0,0.0,811.2857,13.0
2020-06-02,1164,9,0.0,0.0,848.5714,13.2857
2020-06-03,1159,35,0.0,0.0,829.8571,16.5714
2020-06-04,1561,24,0.0,0.0,921.0,17.1429
2020-06-05,1000,13,0.0,0.0,938.2857,17.7143
2020-06-06,1208,16,0.0,0.0,989.2857,17.1429
2020-06-07,523,17,0.0,0.0,1021.1429,17.7143
