date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-19,9,0,0.0,0.0,3.7143,0.0
2020-03-20,3,0,0.0,0.0,4.1429,0.0
2020-03-21,2,0,0.0,0.0,3.7143,0.0
2020-03-22,4,0,0.0,0.0,4.1429,0.0
2020-03-23,5,0,0.0,0.0,4.8571,0.0
2020-03-24,0,0,0.0,0.0,3.4286,0.0
2020-03-25,4,1,0.0,0.0,3.8571,0.1429
2020-03-26,2,2,0.0,0.0,2.8571,0.4286
2020-03-27,9,1,0.0,0.0,3.7143,0.5714
2020-03-28,11,1,0.0,0.0,5.0,0.7143
2020-03-29,5,0,0.0,0.0,5.1429,0.7143
2020-03-30,5,1,0.0,0.0,5.1429,0.8571
2020-03-31,9,0,0.0,0.0,6.4286,0.8571
2020-04-01,8,2,0.0,0.0,7.0,1.0
2020-04-02,11,1,0.0,0.0,8.2857,0.8571
2020-04-03,30,1,0.0,0.0,11.2857,0.8571
2020-04-04,40,4,0.0,0.0,15.4286,1.2857
2020-04-05,25,7,0.0,0.0,18.2857,2.2857
2020-04-06,22,9,0.0,0.0,20.7143,3.4286
2020-04-07,129,4,0.0,0.0,37.8571,4.0
2020-04-08,49,12,0.0,0.0,43.7143,5.4286
2020-04-09,154,10,0.0,0.0,64.1429,6.7143
2020-04-10,129,9,0.0,0.0,78.2857,7.8571
2020-04-11,132,7,0.0,0.0,91.4286,8.2857
2020-04-12,144,13,0.0,0.0,108.4286,9.1429
2020-04-13,194,17,0.0,0.0,133.0,10.2857
2020-04-14,130,13,0.0,0.0,133.1429,11.5714
2020-04-15,200,28,0.0,0.0,154.7143,13.8571
2020-04-16,199,17,0.0,0.0,161.1429,14.8571
2020-04-17,323,26,0.0,0.0,188.8571,17.2857
2020-04-18,187,19,0.0,0.0,196.7143,19.0
2020-04-19,266,11,0.0,0.0,214.1429,18.7143
2020-04-20,231,18,0.0,0.0,219.4286,18.8571
2020-04-21,218,26,0.0,0.0,232.0,20.7143
2020-04-22,390,22,0.0,0.0,259.1429,19.8571
2020-04-23,307,30,0.0,0.0,274.5714,21.7143
2020-04-24,394,40,0.0,0.0,284.7143,23.7143
2020-04-25,508,29,0.0,0.0,330.5714,25.1429
2020-04-26,391,34,0.0,0.0,348.4286,28.4286
2020-04-27,460,35,0.0,0.0,381.1429,30.8571
2020-04-28,366,58,0.0,0.0,402.2857,35.4286
2020-04-29,470,30,0.0,0.0,413.7143,36.5714
2020-04-30,682,27,0.0,0.0,467.2857,36.1429
2020-05-01,458,38,0.0,0.0,476.4286,35.8571
2020-05-02,811,25,0.0,0.0,519.7143,35.2857
2020-05-03,498,24,0.0,0.0,535.0,33.8571
2020-05-04,220,39,0.0,0.0,500.7143,34.4286
2020-05-05,462,58,0.0,0.0,514.4286,34.4286
2020-05-06,556,54,0.0,0.0,526.7143,37.8571
2020-05-07,943,42,0.0,0.0,564.0,40.0
2020-05-08,763,82,0.0,0.0,607.5714,46.2857
2020-05-09,883,45,0.0,0.0,617.8571,49.1429
2020-05-10,805,75,0.0,0.0,661.7143,56.4286
2020-05-11,493,40,0.0,0.0,700.7143,56.5714
2020-05-12,541,70,0.0,0.0,712.0,58.2857
2020-05-13,592,67,0.0,0.0,717.1429,60.1429
2020-05-14,687,74,0.0,0.0,680.5714,64.7143
2020-05-15,621,83,0.0,0.0,660.2857,64.8571
2020-05-16,2279,80,0.0,0.0,859.7143,69.8571
2020-05-17,964,55,0.0,0.0,882.4286,67.0
2020-05-18,642,124,0.0,0.0,903.7143,79.0
2020-05-19,1148,101,0.0,0.0,990.4286,83.4286
2020-05-20,1318,93,0.0,0.0,1094.1429,87.1429
2020-05-21,1351,91,0.0,0.0,1189.0,89.5714
2020-05-22,1849,132,0.0,0.0,1364.4286,96.5714
2020-05-23,1026,87,0.0,0.0,1185.4286,97.5714
2020-05-24,973,56,0.0,0.0,1186.7143,97.7143
2020-05-25,607,48,0.0,0.0,1181.7143,86.8571
2020-05-26,488,80,0.0,0.0,1087.4286,83.8571
2020-05-27,1065,140,0.0,0.0,1051.2857,90.5714
2020-05-28,794,98,0.0,0.0,971.7143,91.5714
2020-05-29,1542,103,0.0,0.0,927.8571,87.4286
2020-05-30,1172,71,0.0,0.0,948.7143,85.1429
2020-05-31,1023,67,0.0,0.0,955.8571,86.7143
2020-06-01,450,68,0.0,0.0,933.4286,89.5714
2020-06-02,608,58,0.0,0.0,950.5714,86.4286
2020-06-03,955,79,0.0,0.0,934.8571,77.7143
2020-06-04,1044,122,0.0,0.0,970.5714,81.1429
2020-06-05,1004,71,0.0,0.0,893.7143,76.5714
2020-06-06,850,65,0.0,0.0,847.7143,75.7143
2020-06-07,881,35,0.0,0.0,827.4286,71.1429
2020-06-08,463,45,0.0,0.0,829.2857,67.8571
2020-06-09,305,103,0.0,0.0,786.0,74.2857
2020-06-10,925,78,0.0,0.0,781.7143,74.1429
2020-06-11,1059,102,0.0,0.0,783.8571,71.2857
2020-06-12,878,61,0.0,0.0,765.8571,69.8571
2020-06-13,799,90,0.0,0.0,758.5714,73.4286
2020-06-14,590,71,0.0,0.0,717.0,78.5714
2020-06-15,246,31,0.0,0.0,686.0,76.5714
2020-06-16,920,73,0.0,0.0,773.8571,72.2857
2020-06-17,1019,50,0.0,0.0,787.2857,68.2857
2020-06-18,1180,48,0.0,0.0,804.5714,60.5714
2020-06-19,1094,45,0.0,0.0,835.4286,58.2857
2020-06-20,1398,46,0.0,0.0,921.0,52.0
2020-06-21,995,86,0.0,0.0,978.8571,54.1429
2020-06-22,381,18,0.0,0.0,998.1429,52.2857
2020-06-23,337,87,0.0,0.0,914.8571,54.2857
2020-06-24,1191,86,0.0,0.0,939.4286,59.4286
2020-06-25,1114,63,0.0,0.0,930.0,61.5714
2020-06-26,668,122,0.0,0.0,869.1429,72.5714
2020-06-27,1285,98,0.0,0.0,853.0,80.0
2020-06-28,1018,43,0.0,0.0,856.2857,73.8571
2020-06-29,369,31,0.0,0.0,854.5714,75.7143
2020-06-30,382,47,0.0,0.0,861.0,70.0
2020-07-01,847,65,0.0,0.0,811.8571,67.0
2020-07-02,1414,74,0.0,0.0,854.7143,68.5714
2020-07-03,1243,100,0.0,0.0,936.8571,65.4286
2020-07-04,1095,48,0.0,0.0,909.7143,58.2857
2020-07-05,1672,27,0.0,0.0,1003.1429,56.0
2020-07-06,513,20,0.0,0.0,1023.7143,54.4286
2020-07-07,509,71,0.0,0.0,1041.8571,57.8571
2020-07-08,1453,89,0.0,0.0,1128.4286,61.2857
2020-07-09,1163,86,0.0,0.0,1092.5714,63.0
2020-07-10,1333,73,0.0,0.0,1105.4286,59.1429
2020-07-11,1270,74,0.0,0.0,1130.4286,62.8571
2020-07-12,1100,39,0.0,0.0,1048.7143,64.5714
2020-07-13,431,57,0.0,0.0,1037.0,69.8571
2020-07-14,675,63,0.0,0.0,1060.7143,68.7143
2020-07-15,1384,57,0.0,0.0,1050.8571,64.1429
2020-07-16,1131,64,0.0,0.0,1046.2857,61.0
2020-07-17,1332,33,0.0,0.0,1046.1429,55.2857
2020-07-18,1086,59,0.0,0.0,1019.8571,53.1429
