date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-26,0,0,0.0,0.0,0.8571,0.0
2020-03-27,1,1,0.0,0.0,0.8571,0.1429
2020-03-28,1,0,0.0,0.0,1.0,0.1429
2020-03-29,5,2,0.0,0.0,1.4286,0.4286
2020-03-30,2,1,0.0,0.0,1.7143,0.5714
2020-03-31,0,0,0.0,0.0,1.4286,0.5714
2020-04-01,1,0,0.0,0.0,1.4286,0.5714
2020-04-02,0,0,0.0,0.0,1.4286,0.5714
2020-04-03,3,0,0.0,0.0,1.7143,0.4286
2020-04-04,2,0,0.0,0.0,1.8571,0.4286
2020-04-05,0,0,0.0,0.0,1.1429,0.1429
2020-04-06,2,0,0.0,0.0,1.1429,0.0
2020-04-07,5,1,0.0,0.0,1.8571,0.1429
2020-04-08,7,1,0.0,0.0,2.7143,0.2857
2020-04-09,2,1,0.0,0.0,3.0,0.4286
2020-04-10,1,0,0.0,0.0,2.7143,0.4286
2020-04-11,3,0,0.0,0.0,2.8571,0.4286
2020-04-12,7,0,0.0,0.0,3.8571,0.4286
2020-04-13,7,1,0.0,0.0,4.5714,0.5714
2020-04-14,17,0,0.0,0.0,6.2857,0.4286
2020-04-15,16,0,0.0,0.0,7.5714,0.2857
2020-04-16,11,0,0.0,0.0,8.8571,0.1429
2020-04-17,21,1,0.0,0.0,11.7143,0.2857
2020-04-18,21,1,0.0,0.0,14.2857,0.4286
2020-04-19,14,2,0.0,0.0,15.2857,0.7143
2020-04-20,28,2,0.0,0.0,18.2857,0.8571
2020-04-21,20,1,0.0,0.0,18.7143,1.0
2020-04-22,11,0,0.0,0.0,18.0,1.0
2020-04-23,39,1,0.0,0.0,22.0,1.1429
2020-04-24,41,1,0.0,0.0,24.8571,1.1429
2020-04-25,34,1,0.0,0.0,26.7143,1.1429
2020-04-26,33,2,0.0,0.0,29.4286,1.1429
2020-04-27,44,1,0.0,0.0,31.7143,1.0
2020-04-28,46,3,0.0,0.0,35.4286,1.2857
2020-04-29,59,0,0.0,0.0,42.2857,1.2857
2020-04-30,87,0,0.0,0.0,49.1429,1.1429
2020-05-01,65,2,0.0,0.0,52.5714,1.2857
2020-05-02,77,2,0.0,0.0,58.7143,1.4286
2020-05-03,42,0,0.0,0.0,60.0,1.1429
