date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-19,9,0,0.0,0.0,2.5714,0.0
2020-03-20,13,0,0.0,0.0,4.4286,0.0
2020-03-21,7,0,0.0,0.0,5.4286,0.0
2020-03-22,10,0,0.0,0.0,6.8571,0.0
2020-03-23,6,0,0.0,0.0,7.7143,0.0
2020-03-24,10,0,0.0,0.0,8.2857,0.0
2020-03-25,27,0,0.0,0.0,11.7143,0.0
2020-03-26,9,0,0.0,0.0,11.7143,0.0
2020-03-27,19,2,0.0,0.0,12.5714,0.2857
2020-03-28,12,0,0.0,0.0,13.2857,0.2857
2020-03-29,15,0,0.0,0.0,14.0,0.2857
2020-03-30,8,1,0.0,0.0,14.2857,0.4286
2020-03-31,25,0,0.0,0.0,16.4286,0.4286
2020-04-01,44,0,0.0,0.0,18.8571,0.4286
2020-04-02,29,1,0.0,0.0,21.7143,0.5714
2020-04-03,49,1,0.0,0.0,26.0,0.4286
2020-04-04,94,2,0.0,0.0,37.7143,0.7143
2020-04-05,44,3,0.0,0.0,41.8571,1.1429
2020-04-06,21,4,0.0,0.0,43.7143,1.5714
2020-04-07,45,1,0.0,0.0,46.5714,1.7143
2020-04-08,39,2,0.0,0.0,45.8571,2.0
2020-04-09,71,7,0.0,0.0,51.8571,2.8571
2020-04-10,34,2,0.0,0.0,49.7143,3.0
2020-04-11,33,1,0.0,0.0,41.0,2.8571
2020-04-12,62,4,0.0,0.0,43.5714,3.0
2020-04-13,18,2,0.0,0.0,43.1429,2.7143
2020-04-14,35,6,0.0,0.0,41.7143,3.4286
2020-04-15,13,2,0.0,0.0,38.0,3.4286
2020-04-16,29,2,0.0,0.0,32.0,2.7143
2020-04-17,42,1,0.0,0.0,33.1429,2.5714
2020-04-18,73,5,0.0,0.0,38.8571,3.1429
2020-04-19,42,3,0.0,0.0,36.0,3.0
2020-04-20,20,1,0.0,0.0,36.2857,2.8571
2020-04-21,17,2,0.0,0.0,33.7143,2.2857
2020-04-22,38,5,0.0,0.0,37.2857,2.7143
2020-04-23,19,2,0.0,0.0,35.8571,2.7143
2020-04-24,37,5,0.0,0.0,35.1429,3.2857
2020-04-25,22,4,0.0,0.0,27.8571,3.1429
2020-04-26,16,4,0.0,0.0,24.1429,3.2857
2020-04-27,30,2,0.0,0.0,25.5714,3.4286
2020-04-28,85,2,0.0,0.0,35.2857,3.4286
2020-04-29,78,5,0.0,0.0,41.0,3.4286
2020-04-30,59,4,0.0,0.0,46.7143,3.7143
2020-05-01,41,4,0.0,0.0,47.2857,3.5714
2020-05-02,46,1,0.0,0.0,50.7143,3.1429
2020-05-03,23,3,0.0,0.0,51.7143,3.0
2020-05-04,48,1,0.0,0.0,54.2857,2.8571
2020-05-05,27,5,0.0,0.0,46.0,3.2857
2020-05-06,39,2,0.0,0.0,40.4286,2.8571
2020-05-07,31,3,0.0,0.0,36.4286,2.7143
2020-05-08,56,2,0.0,0.0,38.5714,2.4286
2020-05-09,75,1,0.0,0.0,42.7143,2.4286
2020-05-10,50,2,0.0,0.0,46.5714,2.2857
2020-05-11,14,2,0.0,0.0,41.7143,2.4286
2020-05-12,57,2,0.0,0.0,46.0,2.0
2020-05-13,93,4,0.0,0.0,53.7143,2.2857
2020-05-14,68,2,0.0,0.0,59.0,2.1429
2020-05-15,76,2,0.0,0.0,61.8571,2.1429
2020-05-16,105,2,0.0,0.0,66.1429,2.2857
2020-05-17,44,1,0.0,0.0,65.2857,2.1429
2020-05-18,74,3,0.0,0.0,73.8571,2.2857
2020-05-19,129,3,0.0,0.0,84.1429,2.4286
2020-05-20,137,7,0.0,0.0,90.4286,2.8571
2020-05-21,199,4,0.0,0.0,109.1429,3.1429
2020-05-22,130,5,0.0,0.0,116.8571,3.5714
2020-05-23,162,4,0.0,0.0,125.0,3.8571
2020-05-24,113,3,0.0,0.0,134.8571,4.1429
2020-05-25,124,4,0.0,0.0,142.0,4.2857
2020-05-26,183,4,0.0,0.0,149.7143,4.4286
2020-05-27,201,3,0.0,0.0,158.8571,3.8571
2020-05-28,273,7,0.0,0.0,169.4286,4.2857
2020-05-29,259,4,0.0,0.0,187.8571,4.1429
2020-05-30,238,8,0.0,0.0,198.7143,4.7143
2020-05-31,214,1,0.0,0.0,213.1429,4.4286
2020-06-01,148,8,0.0,0.0,216.5714,5.0
2020-06-02,335,9,0.0,0.0,238.2857,5.7143
2020-06-03,332,6,0.0,0.0,257.0,6.1429
2020-06-04,328,10,0.0,0.0,264.8571,6.5714
2020-06-05,539,13,0.0,0.0,304.8571,7.8571
2020-06-06,259,6,0.0,0.0,307.8571,7.5714
2020-06-07,294,5,0.0,0.0,319.2857,8.1429
2020-06-08,134,6,0.0,0.0,317.2857,7.8571
2020-06-09,289,10,0.0,0.0,310.7143,8.0
2020-06-10,524,22,0.0,0.0,338.1429,10.2857
2020-06-11,635,6,0.0,0.0,382.0,9.7143
2020-06-12,249,14,0.0,0.0,340.5714,9.8571
2020-06-13,535,18,0.0,0.0,380.0,11.5714
2020-06-14,353,14,0.0,0.0,388.4286,12.8571
2020-06-15,133,8,0.0,0.0,388.2857,13.1429
2020-06-16,851,30,0.0,0.0,468.5714,16.0
2020-06-17,535,22,0.0,0.0,470.1429,16.0
2020-06-18,834,21,0.0,0.0,498.5714,18.1429
2020-06-19,873,13,0.0,0.0,587.7143,18.0
2020-06-20,889,9,0.0,0.0,638.2857,16.7143
2020-06-21,680,14,0.0,0.0,685.0,16.7143
2020-06-22,623,18,0.0,0.0,755.0,18.1429
2020-06-23,729,29,0.0,0.0,737.5714,18.0
2020-06-24,1110,23,0.0,0.0,819.7143,18.1429
2020-06-25,859,18,0.0,0.0,823.2857,17.7143
2020-06-26,850,25,0.0,0.0,820.0,19.4286
2020-06-27,1147,11,0.0,0.0,856.8571,19.7143
2020-06-28,923,24,0.0,0.0,891.5714,21.1429
2020-06-29,584,14,0.0,0.0,886.0,20.5714
2020-06-30,1551,36,0.0,0.0,1003.4286,21.5714
2020-07-01,1348,14,0.0,0.0,1037.4286,20.2857
2020-07-02,2079,43,0.0,0.0,1211.7143,23.8571
2020-07-03,1863,22,0.0,0.0,1356.4286,23.4286
2020-07-04,2404,35,0.0,0.0,1536.0,26.8571
2020-07-05,889,32,0.0,0.0,1531.1429,28.0
2020-07-06,1310,25,0.0,0.0,1634.8571,29.5714
2020-07-07,1539,31,0.0,0.0,1633.1429,28.8571
2020-07-08,1406,44,0.0,0.0,1641.4286,33.1429
2020-07-09,1709,36,0.0,0.0,1588.5714,32.1429
2020-07-10,2088,47,0.0,0.0,1620.7143,35.7143
2020-07-11,1285,38,0.0,0.0,1460.8571,36.1429
2020-07-12,1740,29,0.0,0.0,1582.4286,35.7143
2020-07-13,1045,44,0.0,0.0,1544.5714,38.4286
2020-07-14,1781,57,0.0,0.0,1579.1429,42.1429
2020-07-15,1761,54,0.0,0.0,1629.8571,43.5714
2020-07-16,2281,46,0.0,0.0,1711.5714,45.0
2020-07-17,1916,46,0.0,0.0,1687.0,44.8571
2020-07-18,2232,16,0.0,0.0,1822.2857,41.7143
2020-07-19,1076,19,0.0,0.0,1727.4286,40.2857
2020-07-20,1280,30,0.0,0.0,1761.0,38.2857
2020-07-21,1629,58,0.0,0.0,1739.2857,38.4286
2020-07-22,2389,71,0.0,0.0,1829.0,40.8571
2020-07-23,2077,59,0.0,0.0,1799.8571,42.7143
2020-07-24,2255,53,0.0,0.0,1848.2857,43.7143
2020-07-25,1334,55,0.0,0.0,1720.0,49.2857
2020-07-26,1627,18,0.0,0.0,1798.7143,49.1429
2020-07-27,781,32,0.0,0.0,1727.4286,49.4286
2020-07-28,1392,40,0.0,0.0,1693.5714,46.8571
2020-07-29,1527,71,0.0,0.0,1570.4286,46.8571
2020-07-30,2568,47,0.0,0.0,1640.5714,45.1429
2020-07-31,2624,59,0.0,0.0,1693.2857,46.0
2020-08-01,1818,55,0.0,0.0,1762.4286,46.0
2020-08-02,1675,30,0.0,0.0,1769.2857,47.7143
2020-08-03,1260,45,0.0,0.0,1837.7143,49.5714
2020-08-04,1853,78,0.0,0.0,1903.5714,55.0
2020-08-05,2599,36,0.0,0.0,2056.7143,50.0
2020-08-06,1952,60,0.0,0.0,1968.7143,51.8571
2020-08-07,2697,121,0.0,0.0,1979.1429,60.7143
2020-08-08,1161,-26,0.0,0.0,1885.2857,49.1429
2020-08-09,1739,26,0.0,0.0,1894.4286,48.5714
2020-08-10,1507,53,0.0,0.0,1929.7143,49.7143
2020-08-11,1570,47,0.0,0.0,1889.2857,45.2857
2020-08-12,1842,71,0.0,0.0,1781.1429,50.2857
2020-08-13,1882,60,0.0,0.0,1771.1429,50.2857
2020-08-14,2177,36,0.0,0.0,1696.8571,38.1429
2020-08-15,1927,53,0.0,0.0,1806.2857,49.4286
2020-08-16,1335,26,0.0,0.0,1748.5714,49.4286
2020-08-17,1273,42,0.0,0.0,1715.1429,47.8571
2020-08-18,1858,48,0.0,0.0,1756.2857,48.0
2020-08-19,1659,27,0.0,0.0,1730.1429,41.7143
2020-08-20,2349,83,0.0,0.0,1796.8571,45.0
2020-08-21,2343,37,0.0,0.0,1820.5714,45.1429
2020-08-22,2260,33,0.0,0.0,1868.1429,42.2857
2020-08-23,1111,16,0.0,0.0,1836.1429,40.8571
2020-08-24,1045,33,0.0,0.0,1803.5714,39.5714
2020-08-25,1533,52,0.0,0.0,1757.1429,40.1429
2020-08-26,1704,40,0.0,0.0,1763.5714,42.0
2020-08-27,1833,51,0.0,0.0,1689.8571,37.4286
2020-08-28,2890,41,0.0,0.0,1768.0,38.0
2020-08-29,2003,40,0.0,0.0,1731.2857,39.0
2020-08-30,1636,17,0.0,0.0,1806.2857,39.1429
2020-08-31,1303,39,0.0,0.0,1843.1429,40.0
2020-09-01,1668,55,0.0,0.0,1862.4286,40.4286
2020-09-02,2035,54,0.0,0.0,1909.7143,42.4286
2020-09-03,2256,50,0.0,0.0,1970.1429,42.2857
2020-09-04,1915,56,0.0,0.0,1830.8571,44.4286
2020-09-05,1868,32,0.0,0.0,1811.5714,43.2857
2020-09-06,1426,14,0.0,0.0,1781.5714,42.8571
2020-09-07,779,26,0.0,0.0,1706.7143,41.0
2020-09-08,1404,38,0.0,0.0,1669.0,38.5714
2020-09-09,1076,45,0.0,0.0,1532.0,37.2857
2020-09-10,2000,50,0.0,0.0,1495.4286,37.2857
2020-09-11,2335,71,0.0,0.0,1555.4286,39.4286
2020-09-12,2245,20,0.0,0.0,1609.2857,37.7143
2020-09-13,1258,22,0.0,0.0,1585.2857,38.8571
2020-09-14,649,30,0.0,0.0,1566.7143,39.4286
2020-09-15,1000,65,0.0,0.0,1509.0,43.2857
2020-09-16,1510,53,0.0,0.0,1571.0,44.4286
2020-09-17,2469,47,0.0,0.0,1638.0,44.0
2020-09-18,2123,49,0.0,0.0,1607.7143,40.8571
2020-09-19,1557,26,0.0,0.0,1509.4286,41.7143
2020-09-20,1409,17,0.0,0.0,1531.0,41.0
2020-09-21,606,36,0.0,0.0,1524.8571,41.8571
2020-09-22,2184,39,0.0,0.0,1694.0,38.1429
2020-09-23,1245,59,0.0,0.0,1656.1429,39.0
2020-09-24,1585,36,0.0,0.0,1529.8571,37.4286
2020-09-25,1424,38,0.0,0.0,1430.0,35.8571
2020-09-26,2079,26,0.0,0.0,1504.5714,35.8571
2020-09-27,1132,14,0.0,0.0,1465.0,35.4286
2020-09-28,839,20,0.0,0.0,1498.2857,33.1429
2020-09-29,1316,44,0.0,0.0,1374.2857,33.8571
2020-09-30,1600,63,0.0,0.0,1425.0,34.4286
2020-10-01,1907,42,0.0,0.0,1471.0,35.2857
2020-10-02,1398,33,0.0,0.0,1467.2857,34.5714
2020-10-03,1512,14,0.0,0.0,1386.2857,32.8571
2020-10-04,761,15,0.0,0.0,1333.2857,33.0
2020-10-05,330,30,0.0,0.0,1260.5714,34.4286
2020-10-06,1353,54,0.0,0.0,1265.8571,35.8571
2020-10-07,1570,30,0.0,0.0,1261.5714,31.1429
2020-10-08,470,9,0.0,0.0,1056.2857,26.4286
2020-10-09,1404,24,0.0,0.0,1057.1429,25.1429
2020-10-10,1532,19,0.0,0.0,1060.0,25.8571
2020-10-11,1008,13,0.0,0.0,1095.2857,25.5714
2020-10-12,1831,16,0.0,0.0,1309.7143,23.5714
2020-10-13,718,21,0.0,0.0,1219.0,18.8571
2020-10-14,913,17,0.0,0.0,1125.1429,17.0
2020-10-15,1011,58,0.0,0.0,1202.4286,24.0
2020-10-16,1325,33,0.0,0.0,1191.1429,25.2857
2020-10-17,803,8,0.0,0.0,1087.0,23.7143
2020-10-18,780,2,0.0,0.0,1054.4286,22.1429
2020-10-19,1140,14,0.0,0.0,955.7143,21.8571
