date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-12,3,0,0.0,0.0,2.1429,0.0
2020-03-13,0,0,0.0,0.0,2.0,0.0
2020-03-14,6,0,0.0,0.0,2.8571,0.0
2020-03-15,2,0,0.0,0.0,3.0,0.0
2020-03-16,7,0,0.0,0.0,4.0,0.0
2020-03-17,2,0,0.0,0.0,3.5714,0.0
2020-03-18,30,0,0.0,0.0,7.1429,0.0
2020-03-19,3,2,0.0,0.0,7.1429,0.2857
2020-03-20,43,0,0.0,0.0,13.2857,0.2857
2020-03-21,10,1,0.0,0.0,13.8571,0.4286
2020-03-22,67,0,0.0,0.0,23.1429,0.4286
2020-03-23,47,1,0.0,0.0,28.8571,0.5714
2020-03-24,72,2,0.0,0.0,38.8571,0.8571
2020-03-25,65,2,0.0,0.0,43.8571,1.1429
2020-03-26,51,1,0.0,0.0,50.7143,1.0
2020-03-27,72,1,0.0,0.0,54.8571,1.1429
2020-03-28,65,3,0.0,0.0,62.7143,1.4286
2020-03-29,42,4,0.0,0.0,59.1429,2.0
2020-03-30,57,1,0.0,0.0,60.5714,2.0
2020-03-31,51,5,0.0,0.0,57.5714,2.4286
2020-04-01,124,5,0.0,0.0,66.0,2.8571
2020-04-02,160,13,0.0,0.0,81.5714,4.5714
2020-04-03,82,6,0.0,0.0,83.0,5.2857
2020-04-04,172,11,0.0,0.0,98.2857,6.4286
2020-04-05,148,6,0.0,0.0,113.4286,6.7143
2020-04-06,67,7,0.0,0.0,114.8571,7.5714
2020-04-07,227,18,0.0,0.0,140.0,9.4286
2020-04-08,250,17,0.0,0.0,158.0,11.1429
2020-04-09,278,16,0.0,0.0,174.8571,11.5714
2020-04-10,248,25,0.0,0.0,198.5714,14.2857
2020-04-11,143,8,0.0,0.0,194.4286,13.8571
2020-04-12,248,15,0.0,0.0,208.7143,15.1429
2020-04-13,376,18,0.0,0.0,252.8571,16.7143
2020-04-14,179,36,0.0,0.0,246.0,19.2857
2020-04-15,333,41,0.0,0.0,257.8571,22.7143
2020-04-16,201,36,0.0,0.0,246.8571,25.5714
2020-04-17,405,40,0.0,0.0,269.2857,27.7143
2020-04-18,194,46,0.0,0.0,276.5714,33.1429
2020-04-19,222,15,0.0,0.0,272.8571,33.1429
2020-04-20,134,20,0.0,0.0,238.2857,33.4286
2020-04-21,407,39,0.0,0.0,270.8571,33.8571
2020-04-22,246,29,0.0,0.0,258.4286,32.1429
2020-04-23,620,40,0.0,0.0,318.2857,32.7143
2020-04-24,110,40,0.0,0.0,276.1429,32.7143
2020-04-25,546,45,0.0,0.0,326.4286,32.5714
2020-04-26,283,30,0.0,0.0,335.1429,34.7143
2020-04-27,833,32,0.0,0.0,435.0,36.4286
2020-04-28,560,61,0.0,0.0,456.8571,39.5714
