date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-27,0,0,0.0,0.0,0.7143,0.0
2020-03-28,0,0,0.0,0.0,0.4286,0.0
2020-03-29,0,0,0.0,0.0,0.4286,0.0
2020-03-30,2,1,0.0,0.0,0.7143,0.1429
2020-03-31,1,0,0.0,0.0,0.5714,0.1429
2020-04-01,0,0,0.0,0.0,0.5714,0.1429
2020-04-02,1,0,0.0,0.0,0.5714,0.1429
2020-04-03,0,0,0.0,0.0,0.5714,0.1429
2020-04-04,1,0,0.0,0.0,0.7143,0.1429
2020-04-05,3,0,0.0,0.0,1.1429,0.1429
2020-04-06,4,0,0.0,0.0,1.4286,0.0
2020-04-07,5,0,0.0,0.0,2.0,0.0
2020-04-08,3,0,0.0,0.0,2.4286,0.0
2020-04-09,2,1,0.0,0.0,2.5714,0.1429
2020-04-10,4,0,0.0,0.0,3.1429,0.1429
2020-04-11,2,0,0.0,0.0,3.2857,0.1429
2020-04-12,8,0,0.0,0.0,4.0,0.1429
2020-04-13,0,0,0.0,0.0,3.4286,0.1429
2020-04-14,27,0,0.0,0.0,6.5714,0.1429
2020-04-15,4,0,0.0,0.0,6.7143,0.1429
2020-04-16,19,1,0.0,0.0,9.1429,0.1429
2020-04-17,18,0,0.0,0.0,11.1429,0.1429
2020-04-18,18,1,0.0,0.0,13.4286,0.2857
2020-04-19,32,0,0.0,0.0,16.8571,0.2857
2020-04-20,39,0,0.0,0.0,22.4286,0.2857
2020-04-21,24,1,0.0,0.0,22.0,0.4286
2020-04-22,0,0,0.0,0.0,21.4286,0.4286
2020-04-23,27,0,0.0,0.0,22.5714,0.2857
2020-04-24,40,1,0.0,0.0,25.7143,0.4286
2020-04-25,38,1,0.0,0.0,28.5714,0.4286
2020-04-26,36,3,0.0,0.0,29.1429,0.8571
2020-04-27,29,0,0.0,0.0,27.7143,0.8571
2020-04-28,20,1,0.0,0.0,27.1429,0.8571
2020-04-29,20,4,0.0,0.0,30.0,1.4286
2020-04-30,69,1,0.0,0.0,36.0,1.5714
2020-05-01,83,2,0.0,0.0,42.1429,1.7143
2020-05-02,69,5,0.0,0.0,46.5714,2.2857
2020-05-03,51,1,0.0,0.0,48.7143,2.0
2020-05-04,51,1,0.0,0.0,51.8571,2.1429
2020-05-05,105,4,0.0,0.0,64.0,2.5714
2020-05-06,82,4,0.0,0.0,72.8571,2.5714
2020-05-07,155,4,0.0,0.0,85.1429,3.0
2020-05-08,124,2,0.0,0.0,91.0,3.0
2020-05-09,41,2,0.0,0.0,87.0,2.5714
2020-05-10,39,2,0.0,0.0,85.2857,2.7143
2020-05-11,96,4,0.0,0.0,91.7143,3.1429
2020-05-12,62,3,0.0,0.0,85.5714,3.0
2020-05-13,152,0,0.0,0.0,95.5714,2.4286
2020-05-14,74,6,0.0,0.0,84.0,2.7143
2020-05-15,108,6,0.0,0.0,81.7143,3.2857
2020-05-16,125,7,0.0,0.0,93.7143,4.0
2020-05-17,44,5,0.0,0.0,94.4286,4.4286
2020-05-18,80,9,0.0,0.0,92.1429,5.1429
2020-05-19,370,5,0.0,0.0,136.1429,5.4286
2020-05-20,86,2,0.0,0.0,126.7143,5.7143
2020-05-21,160,11,0.0,0.0,139.0,6.4286
2020-05-22,115,5,0.0,0.0,140.0,6.2857
2020-05-23,335,9,0.0,0.0,170.0,6.5714
2020-05-24,92,6,0.0,0.0,176.8571,6.7143
2020-05-25,67,0,0.0,0.0,175.0,5.4286
2020-05-26,225,12,0.0,0.0,154.2857,6.4286
2020-05-27,369,4,0.0,0.0,194.7143,6.7143
2020-05-28,390,5,0.0,0.0,227.5714,5.8571
