date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-28,4,0,0.0,0.0,2.0,0.0
2020-03-29,0,0,0.0,0.0,2.0,0.0
2020-03-30,0,0,0.0,0.0,2.0,0.0
2020-03-31,0,0,0.0,0.0,1.1429,0.0
2020-04-01,10,0,0.0,0.0,2.5714,0.0
2020-04-02,4,0,0.0,0.0,2.8571,0.0
2020-04-03,7,1,0.0,0.0,3.5714,0.1429
2020-04-04,5,0,0.0,0.0,3.7143,0.1429
2020-04-05,0,0,0.0,0.0,3.7143,0.1429
2020-04-06,0,0,0.0,0.0,3.7143,0.1429
2020-04-07,7,0,0.0,0.0,4.7143,0.1429
2020-04-08,3,0,0.0,0.0,3.7143,0.1429
2020-04-09,11,1,0.0,0.0,4.7143,0.2857
2020-04-10,12,1,0.0,0.0,5.4286,0.2857
2020-04-11,4,0,0.0,0.0,5.2857,0.2857
2020-04-12,4,0,0.0,0.0,5.8571,0.2857
2020-04-13,30,0,0.0,0.0,10.1429,0.2857
2020-04-14,1,0,0.0,0.0,9.2857,0.2857
2020-04-15,28,0,0.0,0.0,12.8571,0.2857
2020-04-16,22,0,0.0,0.0,14.4286,0.1429
2020-04-17,37,0,0.0,0.0,18.0,0.0
2020-04-18,21,0,0.0,0.0,20.4286,0.0
2020-04-19,22,0,0.0,0.0,23.0,0.0
2020-04-20,3,0,0.0,0.0,19.1429,0.0
2020-04-21,33,0,0.0,0.0,23.7143,0.0
2020-04-22,17,0,0.0,0.0,22.1429,0.0
2020-04-23,7,0,0.0,0.0,20.0,0.0
2020-04-24,41,0,0.0,0.0,20.5714,0.0
2020-04-25,56,1,0.0,0.0,25.5714,0.1429
2020-04-26,6,0,0.0,0.0,23.2857,0.1429
2020-04-27,18,0,0.0,0.0,25.4286,0.1429
2020-04-28,0,2,0.0,0.0,20.7143,0.4286
2020-04-29,27,0,0.0,0.0,22.1429,0.4286
2020-04-30,67,1,0.0,0.0,30.7143,0.5714
2020-05-01,83,1,0.0,0.0,36.7143,0.7143
2020-05-02,66,1,0.0,0.0,38.1429,0.7143
2020-05-03,72,2,0.0,0.0,47.5714,1.0
2020-05-04,66,0,0.0,0.0,54.4286,1.0
2020-05-05,63,0,0.0,0.0,63.4286,0.7143
2020-05-06,63,2,0.0,0.0,68.5714,1.0
2020-05-07,88,1,0.0,0.0,71.5714,1.0
2020-05-08,104,2,0.0,0.0,74.5714,1.1429
2020-05-09,78,2,0.0,0.0,76.2857,1.2857
2020-05-10,88,3,0.0,0.0,78.5714,1.4286
2020-05-11,5,3,0.0,0.0,69.8571,1.8571
2020-05-12,116,4,0.0,0.0,77.4286,2.4286
2020-05-13,0,1,0.0,0.0,68.4286,2.2857
2020-05-14,89,8,0.0,0.0,68.5714,3.2857
2020-05-15,89,3,0.0,0.0,66.4286,3.4286
2020-05-16,117,9,0.0,0.0,72.0,4.4286
2020-05-17,85,2,0.0,0.0,71.5714,4.2857
2020-05-18,91,9,0.0,0.0,83.8571,5.1429
2020-05-19,106,4,0.0,0.0,82.4286,5.1429
2020-05-20,79,0,0.0,0.0,93.7143,5.0
2020-05-21,79,8,0.0,0.0,92.2857,5.0
2020-05-22,160,11,0.0,0.0,102.4286,6.1429
2020-05-23,133,-2,0.0,0.0,104.7143,4.5714
2020-05-24,0,3,0.0,0.0,92.5714,4.7143
2020-05-25,125,2,0.0,0.0,97.4286,3.7143
2020-05-26,118,16,0.0,0.0,99.1429,5.4286
2020-05-27,277,0,0.0,0.0,127.4286,5.4286
2020-05-28,139,6,0.0,0.0,136.0,5.1429
2020-05-29,201,2,0.0,0.0,141.8571,3.8571
2020-05-30,176,6,0.0,0.0,148.0,5.0
2020-05-31,217,0,0.0,0.0,179.0,4.5714
2020-06-01,158,4,0.0,0.0,183.7143,4.8571
2020-06-02,293,4,0.0,0.0,208.7143,3.1429
2020-06-03,0,0,0.0,0.0,169.1429,3.1429
2020-06-04,688,15,0.0,0.0,247.5714,4.4286
2020-06-05,407,0,0.0,0.0,277.0,4.1429
2020-06-06,291,3,0.0,0.0,293.4286,3.7143
2020-06-07,239,3,0.0,0.0,296.5714,4.1429
2020-06-08,288,23,0.0,0.0,315.1429,6.8571
2020-06-09,291,14,0.0,0.0,314.8571,8.2857
2020-06-10,247,6,0.0,0.0,350.1429,9.1429
2020-06-11,118,4,0.0,0.0,268.7143,7.5714
2020-06-12,130,5,0.0,0.0,229.1429,8.2857
