date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-17,2,0,0.0,0.0,1.2857,0.0
2020-03-18,9,0,0.0,0.0,2.4286,0.0
2020-03-19,12,0,0.0,0.0,3.8571,0.0
2020-03-20,12,0,0.0,0.0,5.5714,0.0
2020-03-21,26,0,0.0,0.0,9.0,0.0
2020-03-22,8,0,0.0,0.0,10.1429,0.0
2020-03-23,19,0,0.0,0.0,12.5714,0.0
2020-03-24,16,0,0.0,0.0,14.5714,0.0
2020-03-25,50,1,0.0,0.0,20.4286,0.1429
2020-03-26,28,0,0.0,0.0,22.7143,0.1429
2020-03-27,7,1,0.0,0.0,22.0,0.2857
2020-03-28,3,0,0.0,0.0,18.7143,0.2857
2020-03-29,30,0,0.0,0.0,21.8571,0.2857
2020-03-30,24,2,0.0,0.0,22.5714,0.5714
2020-03-31,51,0,0.0,0.0,27.5714,0.5714
2020-04-01,11,1,0.0,0.0,22.0,0.5714
2020-04-02,70,0,0.0,0.0,28.0,0.5714
2020-04-03,24,1,0.0,0.0,30.4286,0.5714
2020-04-04,8,1,0.0,0.0,31.1429,0.7143
2020-04-05,50,0,0.0,0.0,34.0,0.7143
2020-04-06,33,1,0.0,0.0,35.2857,0.5714
2020-04-07,54,0,0.0,0.0,35.7143,0.5714
2020-04-08,26,2,0.0,0.0,37.8571,0.7143
2020-04-09,55,4,0.0,0.0,35.7143,1.2857
2020-04-10,4,1,0.0,0.0,32.8571,1.2857
2020-04-11,13,1,0.0,0.0,33.5714,1.2857
2020-04-12,11,0,0.0,0.0,28.0,1.2857
2020-04-13,21,1,0.0,0.0,26.2857,1.2857
2020-04-14,35,1,0.0,0.0,23.5714,1.4286
2020-04-15,42,1,0.0,0.0,25.8571,1.2857
2020-04-16,30,2,0.0,0.0,22.2857,1.0
2020-04-17,39,3,0.0,0.0,27.2857,1.2857
2020-04-18,23,0,0.0,0.0,28.7143,1.1429
2020-04-19,15,2,0.0,0.0,29.2857,1.4286
2020-04-20,35,1,0.0,0.0,31.2857,1.4286
2020-04-21,14,0,0.0,0.0,28.2857,1.2857
2020-04-22,52,1,0.0,0.0,29.7143,1.2857
2020-04-23,69,1,0.0,0.0,35.2857,1.1429
2020-04-24,57,5,0.0,0.0,37.8571,1.4286
2020-04-25,70,1,0.0,0.0,44.5714,1.5714
2020-04-26,42,3,0.0,0.0,48.4286,1.7143
2020-04-27,48,7,0.0,0.0,50.2857,2.5714
2020-04-28,94,4,0.0,0.0,61.7143,3.1429
2020-04-29,70,2,0.0,0.0,64.2857,3.2857
2020-04-30,109,7,0.0,0.0,70.0,4.1429
2020-05-01,90,4,0.0,0.0,74.7143,4.0
2020-05-02,47,3,0.0,0.0,71.4286,4.2857
2020-05-03,24,2,0.0,0.0,68.8571,4.1429
2020-05-04,78,9,0.0,0.0,73.1429,4.4286
2020-05-05,251,7,0.0,0.0,95.5714,4.8571
2020-05-06,81,7,0.0,0.0,97.1429,5.5714
2020-05-07,82,1,0.0,0.0,93.2857,4.7143
2020-05-08,311,4,0.0,0.0,124.8571,4.7143
2020-05-09,49,2,0.0,0.0,125.1429,4.5714
2020-05-10,34,3,0.0,0.0,126.5714,4.7143
2020-05-11,232,5,0.0,0.0,148.5714,4.1429
2020-05-12,109,6,0.0,0.0,128.2857,4.0
2020-05-13,80,9,0.0,0.0,128.1429,4.2857
2020-05-14,104,6,0.0,0.0,131.2857,5.0
2020-05-15,594,6,0.0,0.0,171.7143,5.2857
