date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-19,7,0,0.0,0.0,2.7143,0.0
2020-03-20,19,0,0.0,0.0,5.2857,0.0
2020-03-21,17,0,0.0,0.0,7.4286,0.0
2020-03-22,11,0,0.0,0.0,8.8571,0.0
2020-03-23,18,0,0.0,0.0,11.2857,0.0
2020-03-24,23,0,0.0,0.0,14.5714,0.0
2020-03-25,13,0,0.0,0.0,15.4286,0.0
2020-03-26,27,1,0.0,0.0,18.2857,0.1429
2020-03-27,14,0,0.0,0.0,17.5714,0.1429
2020-03-28,21,0,0.0,0.0,18.1429,0.1429
2020-03-29,13,0,0.0,0.0,18.4286,0.1429
2020-03-30,22,1,0.0,0.0,19.0,0.2857
2020-03-31,16,0,0.0,0.0,18.0,0.2857
2020-04-01,12,0,0.0,0.0,17.8571,0.2857
2020-04-02,34,3,0.0,0.0,18.8571,0.5714
2020-04-03,20,0,0.0,0.0,19.7143,0.5714
2020-04-04,55,5,0.0,0.0,24.5714,1.2857
2020-04-05,23,0,0.0,0.0,26.0,1.2857
2020-04-06,38,1,0.0,0.0,28.2857,1.2857
2020-04-07,40,4,0.0,0.0,31.7143,1.8571
2020-04-08,44,2,0.0,0.0,36.2857,2.1429
2020-04-09,192,1,0.0,0.0,58.8571,1.8571
2020-04-10,24,0,0.0,0.0,59.4286,1.8571
2020-04-11,15,3,0.0,0.0,53.7143,1.5714
2020-04-12,44,3,0.0,0.0,56.7143,2.0
2020-04-13,50,2,0.0,0.0,58.4286,2.1429
2020-04-14,27,2,0.0,0.0,56.5714,1.8571
2020-04-15,31,1,0.0,0.0,54.7143,1.7143
2020-04-16,42,1,0.0,0.0,33.2857,1.7143
2020-04-17,36,1,0.0,0.0,35.0,1.8571
2020-04-18,13,1,0.0,0.0,34.7143,1.5714
2020-04-19,50,3,0.0,0.0,35.5714,1.5714
2020-04-20,38,0,0.0,0.0,33.8571,1.2857
2020-04-21,28,2,0.0,0.0,34.0,1.2857
2020-04-22,24,2,0.0,0.0,33.0,1.4286
2020-04-23,55,3,0.0,0.0,34.8571,1.7143
2020-04-24,39,0,0.0,0.0,35.2857,1.5714
2020-04-25,26,0,0.0,0.0,37.1429,1.4286
2020-04-26,102,1,0.0,0.0,44.5714,1.1429
2020-04-27,139,1,0.0,0.0,59.0,1.2857
2020-04-28,519,0,0.0,0.0,129.1429,1.0
2020-04-29,90,2,0.0,0.0,138.5714,1.0
2020-04-30,309,2,0.0,0.0,174.8571,0.8571
2020-05-01,-290,2,0.0,0.0,127.8571,1.1429
2020-05-02,242,2,0.0,0.0,158.7143,1.4286
2020-05-03,173,0,0.0,0.0,168.8571,1.2857
2020-05-04,104,3,0.0,0.0,163.8571,1.5714
2020-05-05,172,3,0.0,0.0,114.2857,2.0
2020-05-06,122,1,0.0,0.0,118.8571,1.8571
2020-05-07,165,4,0.0,0.0,98.2857,2.1429
2020-05-08,123,0,0.0,0.0,157.2857,1.8571
2020-05-09,167,1,0.0,0.0,146.5714,1.7143
2020-05-10,57,1,0.0,0.0,130.0,1.8571
2020-05-11,100,4,0.0,0.0,129.4286,2.0
2020-05-12,204,4,0.0,0.0,134.0,2.1429
2020-05-13,95,0,0.0,0.0,130.1429,2.0
2020-05-14,504,5,0.0,0.0,178.5714,2.1429
2020-05-15,230,1,0.0,0.0,193.8571,2.2857
2020-05-16,116,2,0.0,0.0,186.5714,2.4286
2020-05-17,98,2,0.0,0.0,192.4286,2.5714
2020-05-18,399,2,0.0,0.0,235.1429,2.2857
2020-05-19,238,6,0.0,0.0,240.0,2.5714
2020-05-20,86,3,0.0,0.0,238.7143,3.0
2020-05-21,111,4,0.0,0.0,182.5714,2.8571
2020-05-22,848,2,0.0,0.0,270.8571,3.0
2020-05-23,149,3,0.0,0.0,275.5714,3.1429
2020-05-24,89,2,0.0,0.0,274.2857,3.1429
2020-05-25,179,4,0.0,0.0,242.8571,3.4286
2020-05-26,141,12,0.0,0.0,229.0,4.2857
2020-05-27,356,5,0.0,0.0,267.5714,4.5714
2020-05-28,628,5,0.0,0.0,341.4286,4.7143
2020-05-29,530,3,0.0,0.0,296.0,4.8571
