date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-21,3,0,0.0,0.0,1.2857,0.0
2020-03-22,0,0,0.0,0.0,1.2857,0.0
2020-03-23,0,0,0.0,0.0,0.7143,0.0
2020-03-24,5,0,0.0,0.0,1.4286,0.0
2020-03-25,1,0,0.0,0.0,1.4286,0.0
2020-03-26,0,0,0.0,0.0,1.4286,0.0
2020-03-27,0,0,0.0,0.0,1.2857,0.0
2020-03-28,0,0,0.0,0.0,0.8571,0.0
2020-03-29,0,0,0.0,0.0,0.8571,0.0
2020-03-30,2,0,0.0,0.0,1.1429,0.0
2020-03-31,1,0,0.0,0.0,0.5714,0.0
2020-04-01,3,0,0.0,0.0,0.8571,0.0
2020-04-02,2,2,0.0,0.0,1.1429,0.2857
2020-04-03,3,0,0.0,0.0,1.5714,0.2857
2020-04-04,5,1,0.0,0.0,2.2857,0.4286
2020-04-05,0,0,0.0,0.0,2.2857,0.4286
2020-04-06,0,1,0.0,0.0,2.0,0.5714
2020-04-07,4,0,0.0,0.0,2.4286,0.5714
2020-04-08,3,0,0.0,0.0,2.4286,0.5714
2020-04-09,1,0,0.0,0.0,2.2857,0.2857
2020-04-10,2,0,0.0,0.0,2.1429,0.2857
2020-04-11,2,0,0.0,0.0,1.7143,0.1429
2020-04-12,0,0,0.0,0.0,1.7143,0.1429
2020-04-13,1,0,0.0,0.0,1.8571,0.0
2020-04-14,1,0,0.0,0.0,1.4286,0.0
2020-04-15,2,0,0.0,0.0,1.2857,0.0
2020-04-16,5,0,0.0,0.0,1.8571,0.0
2020-04-17,5,0,0.0,0.0,2.2857,0.0
2020-04-18,13,1,0.0,0.0,3.8571,0.1429
2020-04-19,15,0,0.0,0.0,6.0,0.1429
2020-04-20,6,0,0.0,0.0,6.7143,0.1429
2020-04-21,25,2,0.0,0.0,10.1429,0.4286
2020-04-22,1,0,0.0,0.0,10.0,0.4286
2020-04-23,17,1,0.0,0.0,11.7143,0.5714
2020-04-24,10,0,0.0,0.0,12.4286,0.5714
2020-04-25,9,1,0.0,0.0,11.8571,0.5714
2020-04-26,21,0,0.0,0.0,12.7143,0.5714
2020-04-27,36,2,0.0,0.0,17.0,0.8571
2020-04-28,69,0,0.0,0.0,23.2857,0.5714
2020-04-29,57,1,0.0,0.0,31.2857,0.7143
2020-04-30,116,2,0.0,0.0,45.4286,0.8571
2020-05-01,64,0,0.0,0.0,53.1429,0.8571
2020-05-02,84,0,0.0,0.0,63.8571,0.7143
2020-05-03,129,0,0.0,0.0,79.2857,0.7143
2020-05-04,42,3,0.0,0.0,80.1429,0.8571
2020-05-05,126,4,0.0,0.0,88.2857,1.4286
2020-05-06,100,2,0.0,0.0,94.4286,1.5714
2020-05-07,216,2,0.0,0.0,108.7143,1.5714
2020-05-08,224,3,0.0,0.0,131.5714,2.0
2020-05-09,150,5,0.0,0.0,141.0,2.7143
2020-05-10,183,1,0.0,0.0,148.7143,2.8571
2020-05-11,29,3,0.0,0.0,146.8571,2.8571
2020-05-12,232,0,0.0,0.0,162.0,2.2857
2020-05-13,236,5,0.0,0.0,181.4286,2.7143
2020-05-14,226,5,0.0,0.0,182.8571,3.1429
2020-05-15,374,3,0.0,0.0,204.2857,3.1429
2020-05-16,267,3,0.0,0.0,221.0,2.8571
2020-05-17,208,4,0.0,0.0,224.5714,3.2857
