date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-03,0,0,0.0,0.0,0.1429,0.0
2020-03-04,1,0,0.0,0.0,0.2857,0.0
2020-03-05,3,0,0.0,0.0,0.7143,0.0
2020-03-06,4,0,0.0,0.0,1.1429,0.0
2020-03-07,3,0,0.0,0.0,1.5714,0.0
2020-03-08,3,0,0.0,0.0,2.0,0.0
2020-03-09,0,0,0.0,0.0,2.0,0.0
2020-03-10,3,0,0.0,0.0,2.4286,0.0
2020-03-11,11,0,0.0,0.0,3.8571,0.0
2020-03-12,16,0,0.0,0.0,5.7143,0.0
2020-03-13,10,0,0.0,0.0,6.5714,0.0
2020-03-14,9,0,0.0,0.0,7.4286,0.0
2020-03-15,71,0,0.0,0.0,17.1429,0.0
2020-03-16,16,0,0.0,0.0,19.4286,0.0
2020-03-17,12,1,0.0,0.0,20.7143,0.1429
2020-03-18,77,3,0.0,0.0,30.1429,0.5714
2020-03-19,45,1,0.0,0.0,34.2857,0.7143
2020-03-20,110,4,0.0,0.0,48.5714,1.2857
2020-03-21,63,6,0.0,0.0,56.2857,2.1429
2020-03-22,172,7,0.0,0.0,70.7143,3.1429
2020-03-23,114,8,0.0,0.0,84.7143,4.2857
2020-03-24,65,10,0.0,0.0,92.2857,5.5714
2020-03-25,52,8,0.0,0.0,88.7143,6.2857
2020-03-26,191,10,0.0,0.0,109.5714,7.5714
2020-03-27,170,10,0.0,0.0,118.1429,8.4286
2020-03-28,183,16,0.0,0.0,135.2857,9.8571
2020-03-29,45,14,0.0,0.0,117.1429,10.8571
2020-03-30,66,15,0.0,0.0,110.2857,11.8571
2020-03-31,822,23,0.0,0.0,218.4286,13.7143
2020-04-01,642,28,0.0,0.0,302.7143,16.5714
2020-04-02,525,24,0.0,0.0,350.4286,18.5714
2020-04-03,542,31,0.0,0.0,403.5714,21.5714
2020-04-04,418,41,0.0,0.0,437.1429,25.1429
2020-04-05,154,15,0.0,0.0,452.7143,25.2857
2020-04-06,246,29,0.0,0.0,478.4286,27.2857
2020-04-07,816,67,0.0,0.0,477.5714,33.5714
2020-04-08,1026,57,0.0,0.0,532.4286,37.7143
2020-04-09,772,68,0.0,0.0,567.7143,44.0
2020-04-10,736,44,0.0,0.0,595.4286,45.8571
2020-04-11,203,20,0.0,0.0,564.7143,42.8571
2020-04-12,336,28,0.0,0.0,590.7143,44.7143
2020-04-13,140,20,0.0,0.0,575.5714,43.4286
2020-04-14,476,87,0.0,0.0,527.0,46.2857
2020-04-15,1672,83,0.0,0.0,619.2857,50.0
2020-04-16,525,75,0.0,0.0,584.0,51.0
2020-04-17,1273,75,0.0,0.0,660.7143,55.4286
2020-04-18,1053,63,0.0,0.0,782.1429,61.5714
2020-04-19,373,24,0.0,0.0,787.4286,61.0
2020-04-20,313,22,0.0,0.0,812.1429,61.2857
2020-04-21,805,56,0.0,0.0,859.1429,56.8571
2020-04-22,529,41,0.0,0.0,695.8571,50.8571
2020-04-23,826,211,0.0,0.0,738.8571,70.2857
2020-04-24,1086,167,0.0,0.0,712.1429,83.4286
2020-04-25,2178,155,0.0,0.0,872.8571,96.5714
2020-04-26,711,33,0.0,0.0,921.1429,97.8571
2020-04-27,981,125,0.0,0.0,1016.5714,112.5714
2020-04-28,2345,224,0.0,0.0,1236.5714,136.5714
2020-04-29,2117,198,0.0,0.0,1463.4286,159.0
2020-04-30,2540,128,0.0,0.0,1708.2857,147.1429
2020-05-01,1676,136,0.0,0.0,1792.5714,142.7143
2020-05-02,800,75,0.0,0.0,1595.7143,131.2857
2020-05-03,598,41,0.0,0.0,1579.5714,132.4286
2020-05-04,415,27,0.0,0.0,1498.7143,118.4286
2020-05-05,1866,197,0.0,0.0,1430.2857,114.5714
2020-05-06,3800,194,0.0,0.0,1670.7143,114.0
2020-05-07,2075,161,0.0,0.0,1604.2857,118.7143
2020-05-08,1902,210,0.0,0.0,1636.5714,129.2857
2020-05-09,2581,192,0.0,0.0,1891.0,146.0
2020-05-10,1033,101,0.0,0.0,1953.1429,154.5714
2020-05-11,687,34,0.0,0.0,1992.0,155.5714
2020-05-12,1588,206,0.0,0.0,1952.2857,156.8571
2020-05-13,3378,169,0.0,0.0,1892.0,153.2857
2020-05-14,3189,197,0.0,0.0,2051.1429,158.4286
2020-05-15,4092,186,0.0,0.0,2364.0,155.0
2020-05-16,2805,187,0.0,0.0,2396.0,154.2857
2020-05-17,1162,94,0.0,0.0,2414.4286,153.2857
2020-05-18,721,41,0.0,0.0,2419.2857,154.2857
2020-05-19,2929,324,0.0,0.0,2610.8571,171.1429
2020-05-20,3864,216,0.0,0.0,2680.2857,177.8571
