date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-25,0,0,0.0,0.0,0.8571,0.0
2020-03-26,1,0,0.0,0.0,1.0,0.0
2020-03-27,1,0,0.0,0.0,1.1429,0.0
2020-03-28,0,0,0.0,0.0,1.0,0.0
2020-03-29,1,0,0.0,0.0,0.7143,0.0
2020-03-30,1,0,0.0,0.0,0.5714,0.0
2020-03-31,1,0,0.0,0.0,0.7143,0.0
2020-04-01,0,0,0.0,0.0,0.7143,0.0
2020-04-02,0,0,0.0,0.0,0.5714,0.0
2020-04-03,1,0,0.0,0.0,0.5714,0.0
2020-04-04,3,0,0.0,0.0,1.0,0.0
2020-04-05,1,0,0.0,0.0,1.0,0.0
2020-04-06,2,0,0.0,0.0,1.1429,0.0
2020-04-07,0,0,0.0,0.0,1.0,0.0
2020-04-08,4,0,0.0,0.0,1.5714,0.0
2020-04-09,0,0,0.0,0.0,1.5714,0.0
2020-04-10,0,0,0.0,0.0,1.4286,0.0
2020-04-11,2,0,0.0,0.0,1.2857,0.0
2020-04-12,1,0,0.0,0.0,1.2857,0.0
2020-04-13,0,0,0.0,0.0,1.0,0.0
2020-04-14,1,0,0.0,0.0,1.1429,0.0
2020-04-15,2,1,0.0,0.0,0.8571,0.1429
2020-04-16,2,0,0.0,0.0,1.1429,0.1429
2020-04-17,1,0,0.0,0.0,1.2857,0.1429
2020-04-18,1,0,0.0,0.0,1.1429,0.1429
2020-04-19,1,0,0.0,0.0,1.1429,0.1429
2020-04-20,1,1,0.0,0.0,1.2857,0.2857
2020-04-21,2,0,0.0,0.0,1.4286,0.2857
2020-04-22,0,0,0.0,0.0,1.1429,0.1429
2020-04-23,6,0,0.0,0.0,1.7143,0.1429
2020-04-24,7,0,0.0,0.0,2.5714,0.1429
2020-04-25,8,0,0.0,0.0,3.5714,0.1429
2020-04-26,9,0,0.0,0.0,4.7143,0.1429
2020-04-27,12,0,0.0,0.0,6.2857,0.0
2020-04-28,37,0,0.0,0.0,11.2857,0.0
2020-04-29,21,1,0.0,0.0,14.2857,0.1429
2020-04-30,27,0,0.0,0.0,17.2857,0.1429
2020-05-01,27,1,0.0,0.0,20.1429,0.2857
2020-05-02,55,0,0.0,0.0,26.8571,0.2857
2020-05-03,21,2,0.0,0.0,28.5714,0.5714
2020-05-04,36,1,0.0,0.0,32.0,0.7143
2020-05-05,48,2,0.0,0.0,33.5714,1.0
2020-05-06,72,0,0.0,0.0,40.8571,0.8571
2020-05-07,71,0,0.0,0.0,47.1429,0.8571
2020-05-08,79,0,0.0,0.0,54.5714,0.7143
2020-05-09,115,2,0.0,0.0,63.1429,1.0
2020-05-10,59,1,0.0,0.0,68.5714,0.8571
2020-05-11,81,2,0.0,0.0,75.0,1.0
2020-05-12,104,7,0.0,0.0,83.0,1.7143
2020-05-13,97,2,0.0,0.0,86.5714,2.0
2020-05-14,150,1,0.0,0.0,97.8571,2.1429
2020-05-15,100,3,0.0,0.0,100.8571,2.5714
2020-05-16,103,4,0.0,0.0,99.1429,2.8571
2020-05-17,114,1,0.0,0.0,107.0,2.8571
2020-05-18,150,6,0.0,0.0,116.8571,3.4286
2020-05-19,163,4,0.0,0.0,125.2857,3.0
2020-05-20,167,5,0.0,0.0,135.2857,3.4286
2020-05-21,229,2,0.0,0.0,146.5714,3.5714
2020-05-22,225,2,0.0,0.0,164.4286,3.4286
2020-05-23,0,0,0.0,0.0,149.7143,2.8571
2020-05-24,266,7,0.0,0.0,171.4286,3.7143
2020-05-25,0,0,0.0,0.0,150.0,2.8571
2020-05-26,162,6,0.0,0.0,149.8571,3.1429
2020-05-27,419,4,0.0,0.0,185.8571,3.0
2020-05-28,0,0,0.0,0.0,153.1429,2.7143
2020-05-29,334,2,0.0,0.0,168.7143,2.7143
2020-05-30,370,1,0.0,0.0,221.5714,2.8571
2020-05-31,195,2,0.0,0.0,211.4286,2.1429
2020-06-01,169,3,0.0,0.0,235.5714,2.5714
2020-06-02,138,3,0.0,0.0,232.1429,2.1429
2020-06-03,215,3,0.0,0.0,203.0,2.0
2020-06-04,484,7,0.0,0.0,272.1429,3.0
2020-06-05,323,7,0.0,0.0,270.5714,3.7143
