date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-03-03,0,0,0.0,0.0,0.1429,0.0
2020-03-04,1,0,0.0,0.0,0.2857,0.0
2020-03-05,4,0,0.0,0.0,0.8571,0.0
2020-03-06,7,0,0.0,0.0,1.7143,0.0
2020-03-07,5,0,0.0,0.0,2.4286,0.0
2020-03-08,6,0,0.0,0.0,3.2857,0.0
2020-03-09,0,0,0.0,0.0,3.2857,0.0
2020-03-10,9,0,0.0,0.0,4.5714,0.0
2020-03-11,19,0,0.0,0.0,7.1429,0.0
2020-03-12,36,0,0.0,0.0,11.7143,0.0
2020-03-13,17,0,0.0,0.0,13.1429,0.0
2020-03-14,36,0,0.0,0.0,17.5714,0.0
2020-03-15,83,0,0.0,0.0,28.5714,0.0
2020-03-16,54,0,0.0,0.0,36.2857,0.0
2020-03-17,54,1,0.0,0.0,42.7143,0.1429
2020-03-18,181,3,0.0,0.0,65.8571,0.5714
2020-03-19,129,3,0.0,0.0,79.1429,1.0
2020-03-20,331,4,0.0,0.0,124.0,1.5714
2020-03-21,224,7,0.0,0.0,150.8571,2.5714
2020-03-22,396,7,0.0,0.0,195.5714,3.5714
2020-03-23,358,9,0.0,0.0,239.0,4.8571
2020-03-24,303,13,0.0,0.0,274.5714,6.5714
2020-03-25,311,12,0.0,0.0,293.1429,7.8571
2020-03-26,424,18,0.0,0.0,335.2857,10.0
2020-03-27,486,16,0.0,0.0,357.4286,11.7143
2020-03-28,479,22,0.0,0.0,393.8571,13.8571
2020-03-29,360,24,0.0,0.0,388.7143,16.2857
2020-03-30,348,27,0.0,0.0,387.2857,18.8571
2020-03-31,1161,36,0.0,0.0,509.8571,22.1429
2020-04-01,1107,42,0.0,0.0,623.5714,26.4286
2020-04-02,1169,61,0.0,0.0,730.0,32.5714
2020-04-03,1112,60,0.0,0.0,819.4286,38.8571
2020-04-04,1169,80,0.0,0.0,918.0,47.1429
2020-04-05,1043,52,0.0,0.0,1015.5714,51.1429
2020-04-06,838,73,0.0,0.0,1085.5714,57.7143
2020-04-07,1821,121,0.0,0.0,1179.8571,69.8571
2020-04-08,2175,135,0.0,0.0,1332.4286,83.1429
2020-04-09,1937,133,0.0,0.0,1442.1429,93.4286
2020-04-10,1742,114,0.0,0.0,1532.1429,101.1429
2020-04-11,1055,68,0.0,0.0,1515.8571,99.4286
2020-04-12,1464,96,0.0,0.0,1576.0,105.7143
2020-04-13,1412,120,0.0,0.0,1658.0,112.4286
2020-04-14,1909,200,0.0,0.0,1670.5714,123.7143
2020-04-15,3242,203,0.0,0.0,1823.0,133.4286
2020-04-16,2082,202,0.0,0.0,1843.7143,143.2857
2020-04-17,3296,211,0.0,0.0,2065.7143,157.1429
2020-04-18,2778,202,0.0,0.0,2311.8571,176.2857
2020-04-19,2022,116,0.0,0.0,2391.5714,179.1429
2020-04-20,1740,107,0.0,0.0,2438.4286,177.2857
2020-04-21,2742,174,0.0,0.0,2557.4286,173.5714
2020-04-22,2744,169,0.0,0.0,2486.2857,168.7143
2020-04-23,3875,408,0.0,0.0,2742.4286,198.1429
2020-04-24,3911,373,0.0,0.0,2830.2857,221.2857
2020-04-25,5298,352,0.0,0.0,3190.2857,242.7143
2020-04-26,3715,227,0.0,0.0,3432.1429,258.5714
2020-04-27,4145,305,0.0,0.0,3775.7143,286.8571
2020-04-28,6233,488,0.0,0.0,4274.4286,331.7143
2020-04-29,6199,443,0.0,0.0,4768.0,370.8571
2020-04-30,7327,443,0.0,0.0,5261.1429,375.8571
2020-05-01,5539,459,0.0,0.0,5493.7143,388.1429
2020-05-02,4915,371,0.0,0.0,5439.0,390.8571
2020-05-03,4443,267,0.0,0.0,5543.0,396.5714
2020-05-04,6982,304,0.0,0.0,5948.2857,396.4286
2020-05-05,7408,591,0.0,0.0,6116.1429,411.1429
2020-05-06,10544,625,0.0,0.0,6736.8571,437.1429
2020-05-07,9732,676,0.0,0.0,7080.4286,470.4286
2020-05-08,10407,754,0.0,0.0,7775.8571,512.5714
2020-05-09,10155,670,0.0,0.0,8524.4286,555.2857
2020-05-10,6259,478,0.0,0.0,8783.8571,585.4286
2020-05-11,6223,485,0.0,0.0,8675.4286,611.2857
2020-05-12,9613,843,0.0,0.0,8990.4286,647.2857
2020-05-13,11694,778,0.0,0.0,9154.7143,669.1429
2020-05-14,14133,789,0.0,0.0,9783.4286,685.2857
2020-05-15,15460,913,0.0,0.0,10505.2857,708.0
2020-05-16,14048,719,0.0,0.0,11061.4286,715.0
2020-05-17,7663,500,0.0,0.0,11262.0,718.1429
2020-05-18,14559,723,0.0,0.0,12452.8571,752.1429
2020-05-19,17489,1149,0.0,0.0,13578.0,795.8571
